image_id,exact_match,relation_match,colour_overlap,size_overlap,object_overlap,total_attribute_overlap,gold_parse_ok,pred_parse_ok,semantic_match
59,0,0,2,1,2,5,1,1,0
7560,0,1,2,2,2,6,1,1,1
624,0,1,2,1,2,5,1,1,0
1616,0,0,2,0,2,4,1,1,0
7246,0,1,2,1,2,5,1,1,0
8414,0,0,1,0,2,3,1,1,0
1980,0,0,2,0,2,4,1,1,0
7756,0,1,2,2,2,6,1,1,1
495,0,0,2,1,2,5,1,1,0
6036,0,0,2,2,1,5,1,1,1
9756,0,1,2,2,1,5,1,1,1
3308,0,1,2,1,2,5,1,1,0
5485,0,1,1,0,2,3,1,1,0
2499,0,1,2,1,2,5,1,1,0
355,0,0,2,0,2,4,1,1,0
3868,0,1,2,1,2,5,1,1,0
422,0,0,2,2,2,6,1,1,1
6845,0,1,2,1,2,5,1,1,0
7102,0,1,2,1,2,5,1,1,0
4121,0,1,2,1,2,5,1,1,0
2778,0,1,2,1,2,5,1,1,1
3489,0,0,1,1,1,3,1,1,0
6561,0,0,2,1,2,5,1,1,1
4377,0,1,2,1,2,5,1,1,0
62,0,0,2,1,1,4,1,1,0
5094,0,0,2,0,1,3,1,1,0
4119,0,0,2,2,2,6,1,1,1
8360,0,1,2,1,1,4,1,1,0
2610,0,0,2,1,2,5,1,1,0
5847,0,1,2,1,2,5,1,1,0
1693,0,0,2,0,2,4,1,1,0
1068,0,0,2,2,2,6,1,1,1
6921,0,1,2,1,2,5,1,1,0
8758,0,1,2,1,2,5,1,1,0
1862,0,1,2,1,2,5,1,1,0
7464,0,0,2,1,1,4,1,1,0
3289,0,0,2,2,2,6,1,1,1
695,0,0,2,0,2,4,1,1,0
8049,0,1,2,1,2,5,1,1,0
9820,0,0,1,0,2,3,1,1,0
4366,0,0,2,0,2,4,1,1,0
7940,0,0,2,0,1,3,1,1,0
6216,0,1,2,1,2,5,1,1,1
6486,0,0,2,2,2,6,1,1,1
3876,1,1,2,1,2,5,1,1,1
5731,0,1,2,1,2,5,1,1,0
6370,0,1,2,0,1,3,1,1,0
4430,0,1,2,0,2,4,1,1,0
3291,0,0,2,0,2,4,1,1,0
2801,0,0,2,1,2,5,1,1,0
2433,0,0,1,2,2,5,1,1,1
6035,0,1,2,1,2,5,1,1,1
7333,0,0,2,2,2,6,1,1,1
8093,0,0,2,1,2,5,1,1,0
4958,0,1,2,1,2,5,1,1,0
6538,0,0,2,1,1,4,1,1,0
4590,0,0,2,1,2,5,1,1,0
9418,0,0,2,2,2,6,1,1,1
1553,0,0,2,1,2,5,1,1,0
5780,0,0,2,1,2,5,1,1,1
8274,0,0,2,1,1,4,1,1,0
8572,0,0,2,2,2,6,1,1,1
2463,0,1,2,0,2,4,1,1,0
9898,0,0,2,1,2,5,1,1,0
6773,0,0,2,1,2,5,1,1,1
6166,0,1,2,0,2,4,1,1,0
8715,0,0,2,1,2,5,1,1,0
6471,0,1,2,0,2,4,1,1,0
7294,0,0,2,1,2,5,1,1,0
6552,0,0,1,1,2,4,1,1,1
2527,0,0,2,1,2,5,1,1,0
630,0,0,2,2,1,5,1,1,1
1053,0,0,1,1,2,4,1,1,0
2198,0,0,2,1,2,5,1,1,0
4127,0,1,2,1,1,4,1,1,0
135,0,1,2,0,2,4,1,1,0
127,0,0,2,2,2,6,1,1,1
9227,0,0,2,0,1,3,1,1,0
1731,0,1,2,2,2,6,1,1,1
2540,0,0,2,2,2,6,1,1,1
169,0,1,2,1,2,5,1,1,0
1737,0,0,2,2,2,6,1,1,1
1834,0,0,2,1,1,4,1,1,0
5596,0,1,2,0,2,4,1,1,0
3655,0,1,2,1,1,4,1,1,0
3314,0,0,2,1,2,5,1,1,1
7156,0,1,2,1,2,5,1,1,0
9250,0,0,1,2,2,5,1,1,1
7675,0,0,2,2,2,6,1,1,1
2196,0,0,2,1,2,5,1,1,0
3865,0,1,2,1,2,5,1,1,0
1749,0,1,2,2,1,5,1,1,1
4426,0,0,2,2,2,6,1,1,1
2944,1,1,1,2,2,5,1,1,1
6624,0,1,2,1,2,5,1,1,0
6305,0,0,2,2,2,6,1,1,1
1732,0,0,2,0,2,4,1,1,0
4906,0,0,2,1,2,5,1,1,0
2393,0,1,2,2,2,6,1,1,0
9881,0,0,2,0,2,4,1,1,0
4578,0,0,2,2,2,6,1,1,1
7700,0,1,2,1,2,5,1,1,0
4112,0,1,2,1,2,5,1,1,0
6604,0,0,2,2,2,6,1,1,1
2522,0,1,1,1,2,4,1,1,0
1925,0,1,2,1,2,5,1,1,0
1165,0,1,2,2,2,6,1,1,1
5707,0,0,2,0,2,4,1,1,0
3042,0,1,2,2,2,6,1,1,1
2882,0,0,2,1,2,5,1,1,0
8968,0,1,1,1,2,4,1,1,1
9139,0,1,2,2,2,6,1,1,1
9121,0,1,2,1,2,5,1,1,0
