sentence_id,sentence,n_digits
b_0,large red 1,1
b_1,large blue 1,1
b_2,large green 1,1
b_3,large yellow 1,1
b_4,small red 1,1
b_5,small blue 1,1
b_6,small green 1,1
b_7,small yellow 1,1
b_8,large red 2,1
b_9,large blue 2,1
b_10,large green 2,1
b_11,large yellow 2,1
b_12,small red 2,1
b_13,small blue 2,1
b_14,small green 2,1
b_15,small yellow 2,1
b_16,large red 3,1
b_17,large blue 3,1
b_18,large green 3,1
b_19,large yellow 3,1
b_20,small red 3,1
b_21,small blue 3,1
b_22,small green 3,1
b_23,small yellow 3,1
b_24,large red 4,1
b_25,large blue 4,1
b_26,large green 4,1
b_27,large yellow 4,1
b_28,small red 4,1
b_29,small blue 4,1
b_30,small green 4,1
b_31,small yellow 4,1
b_32,large red 5,1
b_33,large blue 5,1
b_34,large green 5,1
b_35,large yellow 5,1
b_36,small red 5,1
b_37,small blue 5,1
b_38,small green 5,1
b_39,small yellow 5,1
b_40,large red 6,1
b_41,large blue 6,1
b_42,large green 6,1
b_43,large yellow 6,1
b_44,small red 6,1
b_45,small blue 6,1
b_46,small green 6,1
b_47,small yellow 6,1
b_48,large red 7,1
b_49,large blue 7,1
b_50,large green 7,1
b_51,large yellow 7,1
b_52,small red 7,1
b_53,small blue 7,1
b_54,small green 7,1
b_55,small yellow 7,1
b_56,large red 8,1
b_57,large blue 8,1
b_58,large green 8,1
b_59,large yellow 8,1
b_60,small red 8,1
b_61,small blue 8,1
b_62,small green 8,1
b_63,small yellow 8,1
b_64,large red 9,1
b_65,large blue 9,1
b_66,large green 9,1
b_67,large yellow 9,1
b_68,small red 9,1
b_69,small blue 9,1
b_70,small green 9,1
b_71,small yellow 9,1
b_72,large red 10,2
b_73,large blue 10,2
b_74,large green 10,2
b_75,large yellow 10,2
b_76,small red 10,2
b_77,small blue 10,2
b_78,small green 10,2
b_79,small yellow 10,2
b_80,large red 11,2
b_81,large blue 11,2
b_82,large green 11,2
b_83,large yellow 11,2
b_84,small red 11,2
b_85,small blue 11,2
b_86,small green 11,2
b_87,small yellow 11,2
b_88,large red 12,2
b_89,large blue 12,2
b_90,large green 12,2
b_91,large yellow 12,2
b_92,small red 12,2
b_93,small blue 12,2
b_94,small green 12,2
b_95,small yellow 12,2
b_96,large red 13,2
b_97,large blue 13,2
b_98,large green 13,2
b_99,large yellow 13,2
b_100,small red 13,2
b_101,small blue 13,2
b_102,small green 13,2
b_103,small yellow 13,2
b_104,large red 14,2
b_105,large blue 14,2
b_106,large green 14,2
b_107,large yellow 14,2
b_108,small red 14,2
b_109,small blue 14,2
b_110,small green 14,2
b_111,small yellow 14,2
b_112,large red 15,2
b_113,large blue 15,2
b_114,large green 15,2
b_115,large yellow 15,2
b_116,small red 15,2
b_117,small blue 15,2
b_118,small green 15,2
b_119,small yellow 15,2
b_120,large red 16,2
b_121,large blue 16,2
b_122,large green 16,2
b_123,large yellow 16,2
b_124,small red 16,2
b_125,small blue 16,2
b_126,small green 16,2
b_127,small yellow 16,2
b_128,large red 17,2
b_129,large blue 17,2
b_130,large green 17,2
b_131,large yellow 17,2
b_132,small red 17,2
b_133,small blue 17,2
b_134,small green 17,2
b_135,small yellow 17,2
b_136,large red 18,2
b_137,large blue 18,2
b_138,large green 18,2
b_139,large yellow 18,2
b_140,small red 18,2
b_141,small blue 18,2
b_142,small green 18,2
b_143,small yellow 18,2
b_144,large red 19,2
b_145,large blue 19,2
b_146,large green 19,2
b_147,large yellow 19,2
b_148,small red 19,2
b_149,small blue 19,2
b_150,small green 19,2
b_151,small yellow 19,2
b_152,large red 20,2
b_153,large blue 20,2
b_154,large green 20,2
b_155,large yellow 20,2
b_156,small red 20,2
b_157,small blue 20,2
b_158,small green 20,2
b_159,small yellow 20,2
b_160,large red 21,2
b_161,large blue 21,2
b_162,large green 21,2
b_163,large yellow 21,2
b_164,small red 21,2
b_165,small blue 21,2
b_166,small green 21,2
b_167,small yellow 21,2
b_168,large red 22,2
b_169,large blue 22,2
b_170,large green 22,2
b_171,large yellow 22,2
b_172,small red 22,2
b_173,small blue 22,2
b_174,small green 22,2
b_175,small yellow 22,2
b_176,large red 23,2
b_177,large blue 23,2
b_178,large green 23,2
b_179,large yellow 23,2
b_180,small red 23,2
b_181,small blue 23,2
b_182,small green 23,2
b_183,small yellow 23,2
b_184,large red 24,2
b_185,large blue 24,2
b_186,large green 24,2
b_187,large yellow 24,2
b_188,small red 24,2
b_189,small blue 24,2
b_190,small green 24,2
b_191,small yellow 24,2
b_192,large red 25,2
b_193,large blue 25,2
b_194,large green 25,2
b_195,large yellow 25,2
b_196,small red 25,2
b_197,small blue 25,2
b_198,small green 25,2
b_199,small yellow 25,2
b_200,large red 26,2
b_201,large blue 26,2
b_202,large green 26,2
b_203,large yellow 26,2
b_204,small red 26,2
b_205,small blue 26,2
b_206,small green 26,2
b_207,small yellow 26,2
b_208,large red 27,2
b_209,large blue 27,2
b_210,large green 27,2
b_211,large yellow 27,2
b_212,small red 27,2
b_213,small blue 27,2
b_214,small green 27,2
b_215,small yellow 27,2
b_216,large red 28,2
b_217,large blue 28,2
b_218,large green 28,2
b_219,large yellow 28,2
b_220,small red 28,2
b_221,small blue 28,2
b_222,small green 28,2
b_223,small yellow 28,2
b_224,large red 29,2
b_225,large blue 29,2
b_226,large green 29,2
b_227,large yellow 29,2
b_228,small red 29,2
b_229,small blue 29,2
b_230,small green 29,2
b_231,small yellow 29,2
b_232,large red 30,2
b_233,large blue 30,2
b_234,large green 30,2
b_235,large yellow 30,2
b_236,small red 30,2
b_237,small blue 30,2
b_238,small green 30,2
b_239,small yellow 30,2
b_240,large red 31,2
b_241,large blue 31,2
b_242,large green 31,2
b_243,large yellow 31,2
b_244,small red 31,2
b_245,small blue 31,2
b_246,small green 31,2
b_247,small yellow 31,2
b_248,large red 32,2
b_249,large blue 32,2
b_250,large green 32,2
b_251,large yellow 32,2
b_252,small red 32,2
b_253,small blue 32,2
b_254,small green 32,2
b_255,small yellow 32,2
b_256,large red 33,2
b_257,large blue 33,2
b_258,large green 33,2
b_259,large yellow 33,2
b_260,small red 33,2
b_261,small blue 33,2
b_262,small green 33,2
b_263,small yellow 33,2
b_264,large red 34,2
b_265,large blue 34,2
b_266,large green 34,2
b_267,large yellow 34,2
b_268,small red 34,2
b_269,small blue 34,2
b_270,small green 34,2
b_271,small yellow 34,2
b_272,large red 35,2
b_273,large blue 35,2
b_274,large green 35,2
b_275,large yellow 35,2
b_276,small red 35,2
b_277,small blue 35,2
b_278,small green 35,2
b_279,small yellow 35,2
