idx,split
8806,train
2885,train
3670,train
226,train
8728,train
9243,train
8085,train
116,train
7460,train
7695,train
3034,train
185,train
7099,train
3871,train
6909,train
6043,train
138,train
4122,train
4459,train
1810,train
1373,train
2065,train
9131,train
8913,train
1778,train
6275,train
2149,train
7423,train
5619,train
6071,train
383,train
9573,train
6095,train
3961,train
6469,train
3608,train
9466,train
6463,train
7255,train
7269,train
8640,train
4631,train
181,train
8795,train
1095,train
2938,train
9961,train
3403,train
1399,train
6789,train
2262,train
6569,train
9705,train
5242,train
6298,train
7628,train
3696,train
3678,train
1427,train
523,train
1249,train
4268,train
2673,train
4891,train
6442,train
6782,train
1947,train
9929,train
492,train
8297,train
8813,train
6680,train
9262,train
3759,train
6602,train
4317,train
2924,train
3627,train
4035,train
7250,train
2374,train
5198,train
1538,train
1122,train
5065,train
5523,train
2215,train
5733,train
8670,train
1944,train
6067,train
6208,train
779,train
5608,train
3708,train
4727,train
367,train
5854,train
5611,train
3901,train
7317,train
6495,train
1512,train
7176,train
204,train
6651,train
1073,train
5247,train
9201,train
8974,train
6255,train
3473,train
2234,train
7762,train
8402,train
9869,train
9680,train
2253,train
5896,train
5730,train
1363,train
9728,train
1510,train
5134,train
4587,train
9604,train
4830,train
3972,train
9076,train
7230,train
8793,train
1866,train
7219,train
615,train
7807,train
6733,train
3414,train
6139,train
2794,train
4882,train
1628,train
8742,train
5495,train
33,train
6227,train
6982,train
825,train
5101,train
3614,train
2756,train
8711,train
3795,train
6045,train
5116,train
6246,train
2589,train
5062,train
7068,train
435,train
5046,train
6662,train
7767,train
5598,train
5437,train
594,train
6158,train
2092,train
4152,train
9996,train
716,train
6498,train
8160,train
8545,train
857,train
8895,train
3838,train
6655,train
455,train
5187,train
3205,train
3408,train
4488,train
7240,train
8294,train
6901,train
1061,train
8281,train
5692,train
5009,train
221,train
6860,train
6471,train
4060,train
1177,train
4101,train
5076,train
3190,train
277,train
7734,train
741,train
281,train
184,train
9586,train
3971,train
3965,train
4080,train
7370,train
8963,train
3680,train
4041,train
333,train
7329,train
5224,train
361,train
8647,train
3766,train
1938,train
9619,train
6886,train
7547,train
2745,train
1225,train
8911,train
4457,train
3746,train
7015,train
2386,train
1160,train
58,train
9016,train
9749,train
9063,train
3819,train
7594,train
1381,train
9402,train
5100,train
1824,train
6514,train
9570,train
2717,train
6372,train
818,train
5668,train
4749,train
297,train
4903,train
2062,train
9018,train
7306,train
1678,train
2266,train
7908,train
5454,train
7696,train
5050,train
2604,train
456,train
7899,train
1320,train
3339,train
2807,train
845,train
9554,train
3711,train
6304,train
5803,train
5760,train
8359,train
4345,train
4225,train
2415,train
5673,train
760,train
2331,train
4819,train
3721,train
8940,train
6544,train
5044,train
6997,train
81,train
1992,train
5013,train
8515,train
7180,train
7782,train
9014,train
3592,train
9900,train
6068,train
1919,train
8890,train
4560,train
2050,train
3104,train
2812,train
5538,train
9675,train
6712,train
4505,train
2165,train
1552,train
1330,train
4372,train
1632,train
9224,train
1763,train
1718,train
7929,train
6879,train
232,train
1639,train
3528,train
610,train
6553,train
2890,train
1842,train
8117,train
8520,train
3820,train
7424,train
45,train
1451,train
8871,train
1518,train
7794,train
6159,train
3415,train
8692,train
6543,train
8887,train
9216,train
7263,train
7916,train
2784,train
5016,train
9009,train
2926,train
2436,train
1029,train
4540,train
6161,train
5646,train
2171,train
7014,train
7643,train
4267,train
