n_components,explained_var,cumulative_var,marginal_gain
1,0.001037,0.001037,0.001037
2,0.021642,0.022680,0.021642
3,0.021492,0.044172,0.021492
4,0.021492,0.065663,0.021492
5,0.021492,0.087155,0.021492
6,0.000736,0.087891,0.000736
7,0.000736,0.088626,0.000736
8,0.000736,0.089362,0.000736
9,0.000736,0.090098,0.000736
10,0.000736,0.090833,0.000736
11,0.000736,0.091569,0.000736
12,0.000736,0.092304,0.000736
13,0.000736,0.093040,0.000736
14,0.000736,0.093775,0.000736
15,0.000736,0.094511,0.000736
16,0.000736,0.095246,0.000736
17,0.000736,0.095982,0.000736
18,0.000736,0.096717,0.000736
19,0.000736,0.097453,0.000736
20,0.000736,0.098188,0.000736
21,0.000736,0.098924,0.000736
22,0.000736,0.099660,0.000736
23,0.000736,0.100395,0.000736
24,0.000736,0.101131,0.000736
25,0.000736,0.101866,0.000736
26,0.000736,0.102602,0.000736
27,0.000736,0.103337,0.000736
28,0.000736,0.104073,0.000736
29,0.000736,0.104808,0.000736
30,0.000736,0.105544,0.000736
31,0.000736,0.106279,0.000736
32,0.000736,0.107015,0.000736
33,0.000736,0.107750,0.000736
34,0.000736,0.108486,0.000736
35,0.000736,0.109222,0.000736
36,0.000736,0.109957,0.000736
37,0.000736,0.110693,0.000736
38,0.000736,0.111428,0.000736
39,0.000736,0.112164,0.000736
40,0.000736,0.112899,0.000736
41,0.000736,0.113635,0.000736
42,0.000736,0.114370,0.000736
43,0.000736,0.115106,0.000736
44,0.000736,0.115841,0.000736
45,0.000736,0.116577,0.000736
46,0.000736,0.117312,0.000736
47,0.000736,0.118048,0.000736
48,0.000736,0.118784,0.000736
49,0.000736,0.119519,0.000736
50,0.000736,0.120255,0.000736
51,0.000736,0.120990,0.000736
52,0.000736,0.121726,0.000736
53,0.000736,0.122461,0.000736
54,0.000736,0.123197,0.000736
55,0.000736,0.123932,0.000736
56,0.000736,0.124668,0.000736
57,0.000736,0.125403,0.000736
58,0.000736,0.126139,0.000736
59,0.000736,0.126874,0.000736
60,0.000736,0.127610,0.000736
61,0.000736,0.128346,0.000736
62,0.000736,0.129081,0.000736
63,0.000736,0.129817,0.000736
64,0.000736,0.130552,0.000736
65,0.000736,0.131288,0.000736
66,0.000736,0.132023,0.000736
67,0.000736,0.132759,0.000736
68,0.000736,0.133494,0.000736
69,0.000736,0.134230,0.000736
70,0.000736,0.134965,0.000736
71,0.000736,0.135701,0.000736
72,0.000736,0.136436,0.000736
73,0.000736,0.137172,0.000736
74,0.000736,0.137908,0.000736
75,0.000736,0.138643,0.000736
76,0.000736,0.139379,0.000736
77,0.000736,0.140114,0.000736
78,0.000736,0.140850,0.000736
79,0.000736,0.141585,0.000736
80,0.000736,0.142321,0.000736
81,0.000736,0.143056,0.000736
82,0.000736,0.143792,0.000736
83,0.000736,0.144527,0.000736
84,0.000736,0.145263,0.000736
85,0.000736,0.145998,0.000736
86,0.000736,0.146734,0.000736
87,0.000736,0.147470,0.000736
88,0.000736,0.148205,0.000736
89,0.000736,0.148941,0.000736
90,0.000736,0.149676,0.000736
91,0.000736,0.150412,0.000736
92,0.000736,0.151147,0.000736
93,0.000736,0.151883,0.000736
94,0.000736,0.152618,0.000736
95,0.000736,0.153354,0.000736
96,0.000736,0.154089,0.000736
97,0.000736,0.154825,0.000736
98,0.000736,0.155560,0.000736
99,0.000736,0.156296,0.000736
100,0.000736,0.157032,0.000736
101,0.000736,0.157767,0.000736
102,0.000736,0.158503,0.000736
103,0.000736,0.159238,0.000736
104,0.000736,0.159974,0.000736
105,0.000736,0.160709,0.000736
106,0.000736,0.161445,0.000736
107,0.000736,0.162180,0.000736
108,0.000736,0.162916,0.000736
109,0.000736,0.163651,0.000736
110,0.000736,0.164387,0.000736
111,0.000736,0.165122,0.000736
112,0.000736,0.165858,0.000736
113,0.000736,0.166594,0.000736
114,0.000736,0.167329,0.000736
115,0.000736,0.168065,0.000736
116,0.000736,0.168800,0.000736
117,0.000736,0.169536,0.000736
118,0.000736,0.170271,0.000736
119,0.000736,0.171007,0.000736
120,0.000736,0.171742,0.000736
121,0.000736,0.172478,0.000736
122,0.000736,0.173213,0.000736
123,0.000736,0.173949,0.000736
124,0.000736,0.174684,0.000736
125,0.000736,0.175420,0.000736
126,0.000736,0.176156,0.000736
127,0.000736,0.176891,0.000736
128,0.000736,0.177627,0.000736
129,0.000736,0.178362,0.000736
130,0.000736,0.179098,0.000736
131,0.000736,0.179833,0.000736
132,0.000736,0.180569,0.000736
133,0.000736,0.181304,0.000736
134,0.000736,0.182040,0.000736
135,0.000736,0.182775,0.000736
136,0.000736,0.183511,0.000736
137,0.000736,0.184246,0.000736
138,0.000736,0.184982,0.000736
139,0.000736,0.185718,0.000736
140,0.000736,0.186453,0.000736
141,0.000736,0.187189,0.000736
142,0.000736,0.187924,0.000736
143,0.000736,0.188660,0.000736
144,0.000736,0.189395,0.000736
145,0.000736,0.190131,0.000736
146,0.000736,0.190866,0.000736
147,0.000736,0.191602,0.000736
148,0.000736,0.192337,0.000736
149,0.000736,0.193073,0.000736
150,0.000736,0.193808,0.000736
151,0.000736,0.194544,0.000736
152,0.000736,0.195280,0.000736
153,0.000736,0.196015,0.000736
154,0.000736,0.196751,0.000736
155,0.000736,0.197486,0.000736
156,0.000736,0.198222,0.000736
157,0.000736,0.198957,0.000736
158,0.000736,0.199693,0.000736
159,0.000736,0.200428,0.000736
160,0.000736,0.201164,0.000736
161,0.000736,0.201899,0.000736
162,0.000736,0.202635,0.000736
163,0.000736,0.203370,0.000736
164,0.000736,0.204106,0.000736
165,0.000736,0.204842,0.000736
