embedding,normed_run_id,base_run_id,best_epoch_normed,best_epoch_base,val_loss_base,val_loss_delta,val_loss_normed,val_mean_cosine_base,val_mean_cosine_delta,val_mean_cosine_normed,val_mean_rank_base,val_mean_rank_delta,val_mean_rank_normed,val_mrr_base,val_mrr_delta,val_mrr_normed,val_top1_base,val_top1_delta,val_top1_normed
tfidf_lsa,B0n,B0,17,16.0,0.000708,0.002965,0.003673,0.796046,0.001062,0.797108,651.38,-1.97,649.41,0.005045,-7e-05,0.004975,0.0,0.0,0.0
sbert,E2an,E2a,30,30.0,0.083985,-0.000191,0.083794,0.91599,0.000183,0.916173,415.66,-8.16,407.5,0.023314,0.002363,0.025677,0.002997,0.001998,0.004995
sbert_finetuned,E2bn,E2b,29,30.0,0.131532,2.6e-05,0.131558,0.868564,-2.8e-05,0.868536,469.51,1.99,471.5,0.01586,-0.000251,0.015609,0.001998,0.0,0.001998
tinybert_mean,E2en,E2e,20,27.0,0.006844,-0.006606,0.000238,0.965167,-0.002664,0.962503,642.56,133.24,775.8,0.024912,-0.007508,0.017404,0.003996,0.0,0.003996
tinybert_pooler,E2fn,E2f,16,9.0,9e-06,1.8e-05,2.7e-05,0.995326,0.000695,0.996021,1181.98,-238.02,943.96,0.010907,-0.001497,0.00941,0.003996,-0.001998,0.001998
glove,E2gn,E2g,14,26.0,0.003285,-0.003079,0.000206,0.971831,-0.002108,0.969723,642.5,53.16,695.66,0.015571,-0.002279,0.013292,0.004995,-0.000999,0.003996
word2vec_pretrained,E2hn,E2h,15,10.0,6.2e-05,-4.1e-05,2.1e-05,0.998015,-0.000228,0.997787,638.13,1.26,639.39,0.007597,0.0,0.007597,0.000999,0.0,0.000999
word2vec_skipgram,E2in,E2i,19,11.0,8e-05,-7.4e-05,6e-06,0.999699,0.000196,0.999895,2513.95,-740.25,1773.7,0.003322,0.00179,0.005112,0.000999,0.000999,0.001998
tfidf_w2v,E2kn,E2k,18,24.0,0.003578,-0.003567,1.1e-05,0.99989,-6e-06,0.999884,2962.01,-1186.62,1775.39,0.002064,0.00069,0.002754,0.0,0.0,0.0
bert_mean,E2ln,,19,,,,0.000225,,,0.910948,,,1166.92,,,0.012944,,,0.001998
bert_pooler,E2mn,,12,,,,3.8e-05,,,0.985442,,,3219.19,,,0.004011,,,0.0
