epoch,train_loss,val_loss,lr,epoch_time_s
1,0.002553197620843079,0.0015121053656912409,0.0001,15.59
2,0.0014547365505085696,0.0010586393618723378,0.0001,14.0
3,0.0011164300967865283,0.000849921354529215,0.0001,14.13
4,0.000977026286631054,0.0007625861398992129,0.0001,14.29
5,0.0009208480034777452,0.0007676842833461706,0.0001,15.34
6,0.0008754433444072862,0.0007631023945577908,0.0001,14.24
7,0.0008480706088621879,0.0007474253106920514,0.0001,13.79
8,0.00082519572849075,0.000732268403226044,0.0001,13.98
9,0.0008198578734808262,0.0007269038942467887,0.0001,15.29
10,0.0008019475536125283,0.000724120076483814,0.0001,15.57
11,0.0007880773420246052,0.0007256109893205576,0.0001,18.86
12,0.0007787300823515074,0.0007309638276637997,0.0001,18.49
13,0.0007763462444205605,0.0007219599174277391,0.0001,14.18
14,0.0007765078732359504,0.0007310753171623219,0.0001,14.05
15,0.0007674509824793194,0.0007231691160995979,0.0001,14.55
16,0.0007617525342437956,0.00071947299875319,0.0001,14.71
17,0.0007574984393570395,0.000715761063474929,0.0001,14.74
18,0.0007571505492604855,0.0007298272466869093,0.0001,14.78
19,0.0007514828808664803,0.0007176185572461691,0.0001,17.69
20,0.0007489796257614794,0.0007278449811565224,0.0001,16.11
