epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,cnn_3layer,combined,0.137646,0.039304,0.000999,0.003996,0.005691,0.924243,2632.82,1546.0,0.0001,21.41
2,cnn_3layer,combined,0.057485,0.028445,0.002997,0.010989,0.010602,0.944392,1427.7,814.0,0.0001,17.89
3,cnn_3layer,combined,0.041912,0.025079,0.002997,0.00999,0.011342,0.950795,1342.83,726.0,0.0001,18.17
4,cnn_3layer,combined,0.033584,0.023683,0.002997,0.014985,0.012621,0.953596,1100.5,534.0,0.0001,18.51
5,cnn_3layer,combined,0.030429,0.023061,0.003996,0.014985,0.013592,0.954655,1216.02,599.0,0.0001,17.89
6,cnn_3layer,combined,0.028147,0.022535,0.003996,0.011988,0.013069,0.955585,1187.76,586.0,0.0001,17.9
7,cnn_3layer,combined,0.026645,0.021021,0.004995,0.012987,0.016271,0.958494,973.47,379.0,0.0001,18.03
8,cnn_3layer,combined,0.025368,0.020642,0.003996,0.012987,0.016209,0.959061,835.07,309.0,0.0001,18.75
9,cnn_3layer,combined,0.024459,0.020071,0.004995,0.010989,0.016248,0.960231,859.5,309.0,0.0001,17.94
10,cnn_3layer,combined,0.024031,0.019968,0.004995,0.011988,0.016022,0.960359,829.96,311.0,0.0001,17.92
11,cnn_3layer,combined,0.023562,0.019438,0.003996,0.011988,0.015833,0.961433,748.41,281.0,0.0001,17.9
12,cnn_3layer,combined,0.022881,0.019649,0.004995,0.012987,0.017029,0.960973,824.74,299.0,0.0001,18.61
13,cnn_3layer,combined,0.022572,0.019307,0.003996,0.014985,0.017056,0.96167,816.89,281.0,0.0001,18.26
14,cnn_3layer,combined,0.022595,0.019379,0.003996,0.012987,0.016972,0.961521,751.97,269.0,0.0001,17.86
15,cnn_3layer,combined,0.022464,0.019053,0.004995,0.014985,0.01777,0.962185,772.35,265.0,0.0001,17.94
16,cnn_3layer,combined,0.021738,0.018948,0.004995,0.013986,0.017351,0.962435,747.02,266.0,0.0001,18.25
17,cnn_3layer,combined,0.021623,0.018595,0.004995,0.013986,0.018217,0.963107,692.25,244.0,0.0001,18.35
18,cnn_3layer,combined,0.021439,0.018909,0.003996,0.014985,0.017598,0.962488,676.31,242.0,0.0001,17.89
19,cnn_3layer,combined,0.02134,0.019,0.003996,0.011988,0.017036,0.962355,674.92,247.0,0.0001,17.91
20,cnn_3layer,combined,0.021024,0.018516,0.003996,0.013986,0.018688,0.963303,684.21,241.0,0.0001,18.05
21,cnn_3layer,combined,0.021085,0.018554,0.003996,0.016983,0.017948,0.963205,747.1,253.0,0.0001,18.6
22,cnn_3layer,combined,0.020715,0.01843,0.002997,0.012987,0.017134,0.963459,648.52,241.0,0.0001,17.87
23,cnn_3layer,combined,0.020561,0.018238,0.004995,0.014985,0.018976,0.963844,696.68,237.0,0.0001,17.92
24,cnn_3layer,combined,0.020579,0.018214,0.002997,0.017982,0.018535,0.963884,607.87,217.0,0.0001,17.89
25,cnn_3layer,combined,0.020667,0.018143,0.003996,0.016983,0.018677,0.964027,645.42,233.0,0.0001,18.79
26,cnn_3layer,combined,0.020495,0.01796,0.003996,0.017982,0.019562,0.964394,638.54,227.0,0.0001,18.03
27,cnn_3layer,combined,0.020364,0.018064,0.002997,0.017982,0.018884,0.964162,583.96,220.0,0.0001,17.91
28,cnn_3layer,combined,0.020297,0.01822,0.004995,0.015984,0.019193,0.963904,664.63,220.0,0.0001,17.91
29,cnn_3layer,combined,0.020146,0.01803,0.003996,0.018981,0.020494,0.964259,577.47,215.0,0.0001,18.61
30,cnn_3layer,combined,0.020117,0.018027,0.002997,0.018981,0.019302,0.964244,676.34,247.0,0.0001,18.19
