epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,cnn_3layer,mse,0.004279,0.000713,0.0,0.000999,0.001427,0.891029,4045.95,3160.0,0.0001,22.07
2,cnn_3layer,mse,0.000924,0.000478,0.000999,0.002997,0.003794,0.925697,3087.49,2059.0,0.0001,18.94
3,cnn_3layer,mse,0.000622,0.000396,0.001998,0.004995,0.00541,0.936788,2633.21,1594.0,0.0001,18.07
4,cnn_3layer,mse,0.000486,0.000321,0.002997,0.005994,0.008981,0.948954,1631.41,911.0,0.0001,17.95
5,cnn_3layer,mse,0.000415,0.000297,0.003996,0.00999,0.011931,0.952962,1339.63,702.0,0.0001,17.99
6,cnn_3layer,mse,0.000375,0.00029,0.004995,0.012987,0.013217,0.954389,1262.31,616.0,0.0001,18.89
7,cnn_3layer,mse,0.000356,0.000279,0.003996,0.011988,0.01449,0.956121,1118.22,491.0,0.0001,18.24
8,cnn_3layer,mse,0.00034,0.00028,0.001998,0.008991,0.012827,0.956817,941.61,383.0,0.0001,18.0
9,cnn_3layer,mse,0.000332,0.000275,0.002997,0.010989,0.012858,0.956655,952.02,395.0,0.0001,18.01
10,cnn_3layer,mse,0.000325,0.000271,0.001998,0.007992,0.012066,0.957067,900.26,362.0,0.0001,18.8
11,cnn_3layer,mse,0.000318,0.000273,0.001998,0.007992,0.01189,0.957094,903.27,368.0,0.0001,18.25
12,cnn_3layer,mse,0.000313,0.000271,0.002997,0.012987,0.013684,0.957812,979.72,396.0,0.0001,18.04
13,cnn_3layer,mse,0.000308,0.000265,0.004995,0.013986,0.016222,0.95838,908.98,348.0,0.0001,18.0
14,cnn_3layer,mse,0.000308,0.00029,0.002997,0.007992,0.011501,0.95463,861.75,371.0,0.0001,18.46
15,cnn_3layer,mse,0.000302,0.000258,0.004995,0.010989,0.015464,0.959402,888.18,339.0,0.0001,18.29
16,cnn_3layer,mse,0.000296,0.000264,0.003996,0.00999,0.014062,0.958719,819.22,327.0,0.0001,17.92
17,cnn_3layer,mse,0.000295,0.000257,0.003996,0.013986,0.014952,0.959404,831.46,322.0,0.0001,17.89
18,cnn_3layer,mse,0.000291,0.000258,0.003996,0.006993,0.014095,0.959291,831.05,299.0,0.0001,18.23
19,cnn_3layer,mse,0.000287,0.000255,0.005994,0.015984,0.017245,0.959752,799.59,302.0,0.0001,18.51
20,cnn_3layer,mse,0.000286,0.000271,0.002997,0.010989,0.014386,0.95834,766.29,325.0,0.0001,17.95
