epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,resnet18_pt,combined,0.346271,0.078295,0.001998,0.002997,0.004149,0.931723,2799.16,2144.0,0.0001,23.1
2,resnet18_pt,combined,0.176702,0.066585,0.000999,0.003996,0.004822,0.940729,2289.07,1776.0,0.0001,21.49
3,resnet18_pt,combined,0.154256,0.052626,0.000999,0.005994,0.006413,0.944253,1711.18,1177.0,0.0001,20.71
4,resnet18_pt,combined,0.134493,0.066367,0.000999,0.008991,0.008808,0.946581,1395.17,876.0,0.0001,20.78
5,resnet18_pt,combined,0.116368,0.042241,0.0,0.010989,0.010566,0.954085,1114.01,576.0,0.0001,21.06
6,resnet18_pt,combined,0.101763,0.040357,0.004995,0.014985,0.015664,0.955524,979.08,437.0,0.0001,20.98
7,resnet18_pt,combined,0.089049,0.038061,0.004995,0.014985,0.016784,0.95886,781.46,310.0,0.0001,21.5
8,resnet18_pt,combined,0.079645,0.039221,0.004995,0.015984,0.018942,0.960032,711.57,260.0,0.0001,20.73
9,resnet18_pt,combined,0.071433,0.035184,0.001998,0.014985,0.017773,0.960957,638.65,227.0,0.0001,21.46
10,resnet18_pt,combined,0.064817,0.028294,0.003996,0.013986,0.018632,0.963022,609.85,225.0,0.0001,20.79
11,resnet18_pt,combined,0.057766,0.028469,0.000999,0.020979,0.020435,0.96055,491.38,185.0,0.0001,21.43
12,resnet18_pt,combined,0.052393,0.02495,0.002997,0.01998,0.021255,0.963423,522.29,201.0,0.0001,20.71
13,resnet18_pt,combined,0.047996,0.030994,0.005994,0.033966,0.030423,0.964882,463.26,157.0,0.0001,21.07
14,resnet18_pt,combined,0.043712,0.023413,0.007992,0.045954,0.038317,0.967037,374.36,143.0,0.0001,20.89
15,resnet18_pt,combined,0.040201,0.027792,0.008991,0.04995,0.039147,0.965221,388.44,132.0,0.0001,20.64
16,resnet18_pt,combined,0.037789,0.021547,0.00999,0.061938,0.042798,0.968545,359.0,131.0,0.0001,21.19
17,resnet18_pt,combined,0.034321,0.02507,0.021978,0.084915,0.062888,0.970061,300.48,94.0,0.0001,20.67
18,resnet18_pt,combined,0.032667,0.022974,0.015984,0.06993,0.054269,0.969024,302.16,94.0,0.0001,21.43
19,resnet18_pt,combined,0.02929,0.026871,0.030969,0.102897,0.077303,0.971046,266.46,68.0,0.0001,20.58
20,resnet18_pt,combined,0.027915,0.025533,0.024975,0.112887,0.081368,0.971742,195.28,54.0,0.0001,21.24
