row_index,true_label,predicted_label,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,left of a big blue octagon is a small red square,0.4103279113769531,0.003071208717301488,0,0,0,1,0.14285714285714285,0,0,0
7560,above a big green octagon is a small red triangle,a small orange octagon can be seen left of a small green square,0.5494194626808167,0.002346774097532034,0,0,0,2,0.2857142857142857,0,0,0
624,a small green hexagon can be seen above a medium blue octagon,left of a big green hexagon is a big orange octagon,0.5474271178245544,0.0023571515921503305,0,0,0,0,0.0,0,0,0
1616,a big yellow octagon is below a big pink diamond,a small orange octagon can be seen left of a small green square,0.5037044882774353,0.0025848730001598597,0,0,0,1,0.14285714285714285,0,0,0
7246,right of a medium green hexagon is a medium black square,left of a big blue octagon is a small red square,0.5028573274612427,0.0025892851408571005,0,0,0,1,0.14285714285714285,0,0,0
8414,the small red octagon is positioned below a small red diamond,a medium orange hexagon can be seen left of a big purple triangle,0.48471730947494507,0.0026837640907615423,0,0,0,0,0.0,0,0,0
1980,the big green circle is positioned right of a big orange octagon,left of a big blue octagon is a small red square,0.513493001461029,0.002533890772610903,0,0,0,2,0.2857142857142857,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,a big green octagon can be seen left of a medium red square,0.4918185770511627,0.0026467780116945505,0,0,0,3,0.42857142857142855,1,0,0
495,a medium green circle can be seen right of a small blue square,right of a small red circle is a big orange octagon,0.47111403942108154,0.002754614455625415,0,0,0,2,0.2857142857142857,1,0,0
6036,below a big purple square is a small yellow square,left of a big blue octagon is a small red square,0.4792153835296631,0.0027124201878905296,0,0,0,3,0.42857142857142855,0,0,0
9756,the medium pink triangle is positioned left of a small black triangle,above a big red octagon is a small green hexagon,0.40012121200561523,0.0031243686098605394,0,0,0,0,0.0,0,0,0
3308,a big red diamond is left of a medium orange square,left of a big blue octagon is a small red square,0.5011612772941589,0.0025981192011386156,0,0,0,2,0.2857142857142857,1,0,0
5485,a small yellow circle is left of a big yellow diamond,above a big red octagon is a small green hexagon,0.4097041189670563,0.0030744578689336777,0,0,0,2,0.2857142857142857,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,left of a big green hexagon is a big orange octagon,0.4325769543647766,0.0029553286731243134,0,0,0,1,0.14285714285714285,0,0,0
355,the big pink hexagon is positioned below a big orange triangle,left of a big blue octagon is a small red square,0.49627065658569336,0.0026235899422317743,0,0,0,1,0.14285714285714285,0,0,0
3868,the medium orange hexagon is positioned above a small black circle,a big green octagon can be seen left of a medium red square,0.5072094202041626,0.0025666176807135344,0,0,0,0,0.0,0,0,0
422,the big purple octagon is positioned right of a small green hexagon,left of a big blue octagon is a small red square,0.5318586826324463,0.00243823672644794,0,0,0,0,0.0,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,above a big red octagon is a small green hexagon,0.46519389748573303,0.002785448683425784,0,0,0,0,0.0,0,0,0
7102,a big orange triangle is left of a medium green hexagon,left of a big blue octagon is a small red square,0.5065576434135437,0.002570012817159295,0,0,0,1,0.14285714285714285,1,0,0
4121,above a small green triangle is a small yellow octagon,left of a big green hexagon is a big orange octagon,0.5014229416847229,0.0025967557448893785,0,0,0,2,0.2857142857142857,0,0,0
2778,left of a medium blue hexagon is a medium orange triangle,left of a big blue octagon is a small red square,0.4800570607185364,0.002708036219701171,0,0,0,2,0.2857142857142857,1,0,0
3489,the medium black triangle is positioned below a big black triangle,a big black hexagon can be seen right of a big orange diamond,0.42421382665634155,0.0029988859314471483,0,0,0,2,0.2857142857142857,0,0,0
6561,a medium yellow circle is right of a medium pink diamond,above a big red octagon is a small green hexagon,0.38658303022384644,0.0031948804389685392,0,0,0,0,0.0,0,0,0
4377,above a medium orange square is a big yellow diamond,left of a big blue octagon is a small red square,0.48471009731292725,0.0026838015764951706,0,0,0,0,0.0,0,0,0
62,a big orange square can be seen right of a small yellow square,left of a big blue octagon is a small red square,0.4993431866168976,0.002607587957754731,0,0,0,1,0.14285714285714285,0,0,0
5094,the medium yellow triangle is positioned right of a medium pink triangle,above a big red octagon is a small green hexagon,0.38590240478515625,0.0031984250526875257,0,0,0,0,0.0,0,0,0
4119,a small green diamond is right of a medium blue hexagon,left of a big blue octagon is a small red square,0.48537173867225647,0.0026803556829690933,0,0,0,2,0.2857142857142857,0,0,0
8360,left of a big pink circle is a small orange circle,above a big red octagon is a small green hexagon,0.46024343371391296,0.0028112318832427263,0,0,0,2,0.2857142857142857,0,0,0
2610,the medium pink diamond is positioned below a medium blue octagon,left of a big green hexagon is a big orange octagon,0.4555298686027527,0.0028357820119708776,0,0,0,0,0.0,0,0,0
5847,above a small blue triangle is a small purple octagon,left of a big green hexagon is a big orange octagon,0.5056939125061035,0.002574511105194688,0,0,0,1,0.14285714285714285,0,0,0
1693,right of a medium purple triangle is a medium blue diamond,a big black hexagon can be seen right of a big orange diamond,0.45629894733428955,0.0028317763935774565,0,0,0,1,0.14285714285714285,1,0,0
1068,the small black hexagon is positioned below a medium yellow square,a big green octagon can be seen left of a medium red square,0.4668816924095154,0.0027766574639827013,0,0,0,2,0.2857142857142857,0,0,0
6921,a big yellow circle can be seen above a medium blue triangle,above a big red octagon is a small green hexagon,0.446305513381958,0.0028838261496275663,0,0,0,1,0.14285714285714285,1,0,0
8758,a big blue octagon can be seen above a medium purple diamond,left of a big blue octagon is a small red square,0.5339639186859131,0.002427271567285061,0,0,0,0,0.0,0,0,0
1862,a medium red octagon can be seen above a small black hexagon,left of a big green hexagon is a big orange octagon,0.5371202230453491,0.002410832094028592,0,0,0,2,0.2857142857142857,0,1,0
7464,a small orange diamond is below a big pink diamond,above a big red octagon is a small green hexagon,0.43833819031715393,0.0029253223910927773,0,0,0,2,0.2857142857142857,0,0,0
3289,a big orange circle is right of a small pink diamond,above a big red octagon is a small green hexagon,0.4812052845954895,0.002702056197449565,0,0,0,0,0.0,0,0,0
695,a small yellow circle is below a small orange diamond,above a big red octagon is a small green hexagon,0.43878811597824097,0.002922978950664401,0,0,0,1,0.14285714285714285,0,0,0
8049,a big black triangle is above a medium pink diamond,a big black hexagon can be seen right of a big orange diamond,0.4755190908908844,0.002731671556830406,0,0,0,3,0.42857142857142855,0,0,0
9820,right of a big pink square is a big pink circle,left of a big blue octagon is a small red square,0.4268002212047577,0.002985415980219841,0,0,0,1,0.14285714285714285,0,0,0
4366,the big purple octagon is positioned below a big blue triangle,a big black hexagon can be seen right of a big orange diamond,0.5189506411552429,0.0025054661091417074,0,0,0,2,0.2857142857142857,0,0,0
7940,a big pink hexagon can be seen right of a big black hexagon,left of a big blue octagon is a small red square,0.4872962534427643,0.002670332556590438,0,0,0,1,0.14285714285714285,0,0,0
6216,left of a small blue hexagon is a small yellow diamond,a big green octagon can be seen left of a medium red square,0.45106935501098633,0.002859014319255948,0,0,0,1,0.14285714285714285,1,0,0
6486,a big red octagon can be seen below a small yellow circle,left of a big blue octagon is a small red square,0.5362087488174438,0.0024155795108526945,0,0,0,1,0.14285714285714285,0,0,0
3876,a medium green hexagon is above a medium pink circle,left of a big green hexagon is a big orange octagon,0.5004824995994568,0.002601653104647994,0,0,0,0,0.0,0,0,0
5731,the small red hexagon is positioned left of a medium green octagon,left of a big blue octagon is a small red square,0.5324877500534058,0.0024349598679691553,0,0,0,4,0.5714285714285714,1,0,0
6370,left of a big black octagon is a big pink octagon,left of a big blue octagon is a small red square,0.48451289534568787,0.0026848288252949715,0,0,0,3,0.42857142857142855,1,0,0
4430,the big purple circle is positioned left of a big red triangle,left of a big blue octagon is a small red square,0.5062808990478516,0.0025714540388435125,0,0,0,2,0.2857142857142857,1,0,0
3291,the small blue square is positioned right of a small yellow hexagon,left of a big blue octagon is a small red square,0.47187429666519165,0.00275065447203815,0,0,0,2,0.2857142857142857,0,0,0
2801,the small yellow circle is positioned right of a medium blue square,left of a big blue octagon is a small red square,0.4312022924423218,0.002962487982586026,0,0,0,2,0.2857142857142857,0,0,0
2433,a medium green square can be seen below a small green triangle,left of a big blue octagon is a small red square,0.4792793393135071,0.0027120867744088173,0,0,0,1,0.14285714285714285,0,0,0
6035,left of a small green triangle is a small pink diamond,above a big red octagon is a small green hexagon,0.44344955682754517,0.002898700535297394,0,0,0,1,0.14285714285714285,0,0,0
7333,the small yellow square is positioned right of a medium purple diamond,above a big red octagon is a small green hexagon,0.4539554715156555,0.0028439827729016542,0,0,0,1,0.14285714285714285,0,0,0
8093,below a medium purple triangle is a big green hexagon,left of a big blue octagon is a small red square,0.5366647243499756,0.0024132051039487123,0,0,0,0,0.0,0,0,0
