row_index,true_label,predicted_label,true_rank,reciprocal_rank,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,a medium orange octagon can be seen above a big black triangle,253,0.003952569169960474,0.9773280620574951,5.9041627537226304e-05,0,0,0,1,0.14285714285714285,0,0,0
7560,above a big green octagon is a small red triangle,above a big green triangle is a big red octagon,16,0.0625,0.9827672839164734,4.487732076086104e-05,0,0,0,4,0.5714285714285714,1,0,0
624,a small green hexagon can be seen above a medium blue octagon,above a big green triangle is a big red octagon,152,0.006578947368421052,0.9800922870635986,5.184298424865119e-05,0,0,0,1,0.14285714285714285,1,0,0
1616,a big yellow octagon is below a big pink diamond,below a small red hexagon is a big red octagon,731,0.0013679890560875513,0.9624546766281128,9.777446393854916e-05,0,0,0,3,0.42857142857142855,1,0,0
7246,right of a medium green hexagon is a medium black square,a big black octagon can be seen above a small orange triangle,865,0.0011560693641618498,0.9482545852661133,0.0001347541983705014,0,0,0,1,0.14285714285714285,0,0,0
8414,the small red octagon is positioned below a small red diamond,below a small red hexagon is a big red octagon,752,0.0013297872340425532,0.9614918231964111,0.00010028190445154905,0,0,0,5,0.7142857142857143,1,0,0
1980,the big green circle is positioned right of a big orange octagon,below a small red hexagon is a big red octagon,549,0.0018214936247723133,0.9704642295837402,7.69165126257576e-05,0,0,0,1,0.14285714285714285,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,above a big green triangle is a big red octagon,563,0.0017761989342806395,0.9694602489471436,7.953084423206747e-05,0,0,0,1,0.14285714285714285,0,0,0
495,a medium green circle can be seen right of a small blue square,a big black octagon can be seen above a small orange triangle,205,0.004878048780487805,0.978871762752533,5.502161002368666e-05,0,0,0,1,0.14285714285714285,0,0,0
6036,below a big purple square is a small yellow square,below a small red hexagon is a big red octagon,21,0.047619047619047616,0.9826706647872925,4.512855957727879e-05,0,0,0,1,0.14285714285714285,1,0,0
9756,the medium pink triangle is positioned left of a small black triangle,a big black octagon can be seen above a small orange triangle,268,0.0037313432835820895,0.977818489074707,5.7764744269661605e-05,0,0,0,2,0.2857142857142857,0,0,0
3308,a big red diamond is left of a medium orange square,below a big pink octagon is a big blue triangle,871,0.001148105625717566,0.9501283764839172,0.00012987411173526198,0,0,0,1,0.14285714285714285,0,0,0
5485,a small yellow circle is left of a big yellow diamond,below a small red hexagon is a big red octagon,540,0.001851851851851852,0.9708598256111145,7.588646985823289e-05,0,0,0,0,0.0,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,a medium orange octagon can be seen above a big black triangle,117,0.008547008547008548,0.9805015921592712,5.07773547724355e-05,0,0,0,3,0.42857142857142855,1,0,0
355,the big pink hexagon is positioned below a big orange triangle,below a small red hexagon is a big red octagon,778,0.0012853470437017994,0.9592318534851074,0.00010616743384161964,0,0,0,2,0.2857142857142857,1,0,0
3868,the medium orange hexagon is positioned above a small black circle,below a big pink octagon is a big blue triangle,598,0.0016722408026755853,0.96915602684021,8.032338519115001e-05,0,0,0,0,0.0,0,0,0
422,the big purple octagon is positioned right of a small green hexagon,below a small red hexagon is a big red octagon,781,0.0012804097311139564,0.9577651023864746,0.00010998678772011772,0,0,0,4,0.5714285714285714,0,1,0
6845,a medium red diamond is left of a small yellow hexagon,below a big pink octagon is a big blue triangle,583,0.0017152658662092624,0.9690889120101929,8.049787720665336e-05,0,0,0,0,0.0,0,0,0
7102,a big orange triangle is left of a medium green hexagon,above a big green triangle is a big red octagon,664,0.0015060240963855422,0.9640395045280457,9.364703873870894e-05,0,0,0,2,0.2857142857142857,0,0,0
4121,above a small green triangle is a small yellow octagon,above a big green triangle is a big red octagon,399,0.002506265664160401,0.9757558703422546,6.31358489044942e-05,0,0,0,4,0.5714285714285714,1,1,0
