row_index,true_label,predicted_label,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,right of a small black circle is a big pink square,0.6228182911872864,0.00196448783390224,0,0,0,1,0.14285714285714285,0,0,0
7560,above a big green octagon is a small red triangle,a big green octagon can be seen right of a small pink square,0.7621573805809021,0.0012387634487822652,0,0,0,0,0.0,0,0,0
624,a small green hexagon can be seen above a medium blue octagon,a small yellow octagon is right of a big black circle,0.7641243934631348,0.001228518900461495,0,0,0,1,0.14285714285714285,0,0,0
1616,a big yellow octagon is below a big pink diamond,right of a small black circle is a big pink square,0.729973554611206,0.0014063883572816849,0,0,0,1,0.14285714285714285,0,0,0
7246,right of a medium green hexagon is a medium black square,right of a small black circle is a big pink square,0.7637771368026733,0.00123032764531672,0,0,0,2,0.2857142857142857,1,0,0
8414,the small red octagon is positioned below a small red diamond,right of a small black circle is a big pink square,0.6272082924842834,0.0019416239811107516,0,0,0,1,0.14285714285714285,0,0,0
1980,the big green circle is positioned right of a big orange octagon,right of a small black circle is a big pink square,0.8318564295768738,0.0008757479954510927,0,0,0,2,0.2857142857142857,1,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,right of a small black circle is a big pink square,0.7722054123878479,0.001186429988592863,0,0,0,1,0.14285714285714285,0,0,0
495,a medium green circle can be seen right of a small blue square,right of a small black circle is a big pink square,0.8194777965545654,0.0009402201394550502,0,0,0,2,0.2857142857142857,1,0,0
6036,below a big purple square is a small yellow square,right of a small black circle is a big pink square,0.7128501534461975,0.0014955727383494377,0,0,0,1,0.14285714285714285,0,0,0
9756,the medium pink triangle is positioned left of a small black triangle,right of a small black circle is a big pink square,0.6760772466659546,0.0016870979452505708,0,0,0,3,0.42857142857142855,0,0,0
3308,a big red diamond is left of a medium orange square,left of a big pink circle is a big yellow square,0.6734526753425598,0.0017007676651701331,0,0,0,2,0.2857142857142857,1,0,0
5485,a small yellow circle is left of a big yellow diamond,right of a small black circle is a big pink square,0.7240272760391235,0.0014373576268553734,0,0,0,0,0.0,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,right of a small black circle is a big pink square,0.6436797976493835,0.0018558349693194032,0,0,0,2,0.2857142857142857,0,0,0
355,the big pink hexagon is positioned below a big orange triangle,right of a small black circle is a big pink square,0.6513261795043945,0.0018160095205530524,0,0,0,2,0.2857142857142857,0,0,0
3868,the medium orange hexagon is positioned above a small black circle,right of a small black circle is a big pink square,0.7292346954345703,0.0014102362329140306,0,0,0,3,0.42857142857142855,0,0,0
422,the big purple octagon is positioned right of a small green hexagon,the small black circle is positioned left of a big pink octagon,0.7974169254302979,0.0010551210725679994,0,0,0,0,0.0,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,a big pink square is right of a small orange circle,0.5880979895591736,0.002145323669537902,0,0,0,1,0.14285714285714285,0,0,0
7102,a big orange triangle is left of a medium green hexagon,right of a big black octagon is a small green square,0.7154949903488159,0.001481796964071691,0,0,0,0,0.0,0,0,0
4121,above a small green triangle is a small yellow octagon,right of a small black circle is a big pink square,0.7210578918457031,0.0014528237516060472,0,0,0,1,0.14285714285714285,0,0,0
2778,left of a medium blue hexagon is a medium orange triangle,right of a small black circle is a big pink square,0.6474003791809082,0.001836456242017448,0,0,0,0,0.0,0,0,0
3489,the medium black triangle is positioned below a big black triangle,a big green triangle is left of a medium black circle,0.7221884727478027,0.0014469347661361098,0,0,0,2,0.2857142857142857,0,0,0
6561,a medium yellow circle is right of a medium pink diamond,right of a small black circle is a big pink square,0.632165789604187,0.0019158031791448593,0,0,0,1,0.14285714285714285,1,0,0
4377,above a medium orange square is a big yellow diamond,left of a big pink circle is a big yellow square,0.6909812688827515,0.0016094725579023361,0,0,0,2,0.2857142857142857,0,0,0
62,a big orange square can be seen right of a small yellow square,right of a small black circle is a big pink square,0.7429195642471313,0.0013389611849561334,0,0,0,4,0.5714285714285714,1,0,0
5094,the medium yellow triangle is positioned right of a medium pink triangle,right of a small black circle is a big pink square,0.6764150857925415,0.001685338094830513,0,0,0,1,0.14285714285714285,1,0,0
4119,a small green diamond is right of a medium blue hexagon,a small yellow octagon is right of a big black circle,0.6794506311416626,0.0016695285448804498,0,0,0,2,0.2857142857142857,1,0,0
8360,left of a big pink circle is a small orange circle,right of a small black circle is a big pink square,0.8055432438850403,0.001012795721180737,0,0,0,1,0.14285714285714285,0,0,0
2610,the medium pink diamond is positioned below a medium blue octagon,the small black circle is positioned left of a big pink octagon,0.6593692898750305,0.0017741179326549172,0,0,0,1,0.14285714285714285,0,0,0
5847,above a small blue triangle is a small purple octagon,right of a small black circle is a big pink square,0.7319052219390869,0.0013963272795081139,0,0,0,1,0.14285714285714285,0,0,0
1693,right of a medium purple triangle is a medium blue diamond,right of a small black circle is a big pink square,0.6980206966400146,0.001572808832861483,0,0,0,1,0.14285714285714285,1,0,0
1068,the small black hexagon is positioned below a medium yellow square,right of a small black circle is a big pink square,0.6993552446365356,0.0015658587217330933,0,0,0,0,0.0,0,0,0
6921,a big yellow circle can be seen above a medium blue triangle,the big pink triangle is positioned left of a big yellow circle,0.8072336316108704,0.0010039921617135406,0,0,0,1,0.14285714285714285,0,0,0
8758,a big blue octagon can be seen above a medium purple diamond,a small yellow octagon is right of a big black circle,0.7737144231796265,0.0011785709066316485,0,0,0,1,0.14285714285714285,0,0,0
1862,a medium red octagon can be seen above a small black hexagon,the small black circle is positioned left of a big pink octagon,0.6838963627815247,0.0016463729552924633,0,0,0,0,0.0,0,0,0
7464,a small orange diamond is below a big pink diamond,right of a small black circle is a big pink square,0.5786818861961365,0.0021943661849945784,0,0,0,0,0.0,0,0,0
3289,a big orange circle is right of a small pink diamond,right of a small black circle is a big pink square,0.7454912066459656,0.0013255669036880136,0,0,0,3,0.42857142857142855,1,0,0
695,a small yellow circle is below a small orange diamond,right of a small black circle is a big pink square,0.6614859700202942,0.0017630938673391938,0,0,0,1,0.14285714285714285,0,0,0
8049,a big black triangle is above a medium pink diamond,right of a small black circle is a big pink square,0.7123708724975586,0.0014980682171881199,0,0,0,1,0.14285714285714285,0,0,0
9820,right of a big pink square is a big pink circle,right of a small black circle is a big pink square,0.8081873059272766,0.0009990247199311852,0,0,0,3,0.42857142857142855,1,0,0
4366,the big purple octagon is positioned below a big blue triangle,right of a big black triangle is a small purple octagon,0.8087490200996399,0.0009960989700630307,0,0,0,4,0.5714285714285714,0,1,0
