run_name,model_name,embedding_name,loss_name,rows_evaluated,avg_cosine_similarity,avg_mse,top1_accuracy,top5_accuracy,exact_sentence_match_rate,avg_attribute_overlap_count,avg_attribute_overlap_ratio,relation_match_rate,object_pair_match_rate,full_structure_match_rate
1_CNNPool_sbert_CosineLoss,CNNPool,sbert,CosineLoss,1000,0.8608171882033349,0.0007249107598618,0.043,0.237,0.043,2.829,0.4041428571428571,0.484,0.257,0.044
4_ResnetDSA_sbert_CosineLoss,ResnetDSA,sbert,CosineLoss,1000,0.8361998736262322,0.0008531259265437,0.042,0.17,0.042,2.53,0.3614285714285714,0.355,0.306,0.042
9_ResnetDSA_P_wvec_CosineLoss,ResnetDSA,P_wvec,CosineLoss,1000,0.8884213775396347,0.0007438578568689,0.034,0.119,0.034,2.358,0.3368571428571428,0.305,0.231,0.034
2_CNNStride_sbert_CosineLoss,CNNStride,sbert,CosineLoss,1000,0.8409877596497536,0.000828189011634,0.016,0.071,0.016,2.473,0.3532857142857142,0.426,0.259,0.016
0_CNN2Layer_sbert_CosineLoss,CNN2Layer,sbert,CosineLoss,1000,0.8015761075019836,0.0010334580355556,0.008,0.029,0.008,2.096,0.2994285714285714,0.457,0.048,0.008
6_ResnetDSA_TB_mean_CosineLoss,ResnetDSA,TB_mean,CosineLoss,1000,0.8719937479496003,0.000820553210593,0.004,0.018,0.004,1.814,0.2591428571428571,0.302,0.071,0.004
5_ResnetDSA_TB_pooler_CosineLoss,ResnetDSA,TB_pooler,CosineLoss,1000,0.9719059818983078,0.0001800901997739,0.002,0.008,0.002,1.542,0.2202857142857142,0.233,0.032,0.002
7_ResnetDSA_B_pooler_CosineLoss,ResnetDSA,B_pooler,CosineLoss,1000,0.9695230459570884,7.936721401347314e-05,0.002,0.006,0.002,1.529,0.2184285714285714,0.243,0.021,0.002
13_ResnetDSA_B_pooler_MSELoss,ResnetDSA,B_pooler,MSELoss,1000,0.9675159888267516,8.459391680298723e-05,0.002,0.007,0.002,1.607,0.2295714285714285,0.258,0.042,0.002
14_ResnetDSA_B_mean_MSELoss,ResnetDSA,B_mean,MSELoss,1000,0.8785497741103172,0.0003162767645699,0.002,0.009,0.002,1.655,0.2364285714285714,0.28,0.039,0.002
8_ResnetDSA_B_mean_CosineLoss,ResnetDSA,B_mean,CosineLoss,1000,0.8734041932225227,0.0003296767019637,0.002,0.01,0.002,1.906,0.2722857142857143,0.354,0.058,0.002
3_GoogleNet_sbert_CosineLoss,GoogleNet,sbert,CosineLoss,1000,0.7278884583711625,0.0014172478707623,0.002,0.026,0.002,1.712,0.2445714285714285,0.27,0.045,0.002
10_ResnetDSA_sbert_MSELoss,ResnetDSA,sbert,MSELoss,1000,0.4873999447524547,0.0026697921613231,0.002,0.005,0.002,1.487,0.2124285714285714,0.229,0.026,0.002
12_ResnetDSA_TB_mean_MSELoss,ResnetDSA,TB_mean,MSELoss,1000,0.8302996337413788,0.0010878231742826,0.001,0.009,0.001,1.589,0.227,0.238,0.047,0.001
11_ResnetDSA_TB_pooler_MSELoss,ResnetDSA,TB_pooler,MSELoss,1000,0.5584226201474667,0.0028306244334671,0.001,0.006,0.001,1.508,0.2154285714285714,0.251,0.027,0.001
15_ResnetDSA_P_wvec_MSELoss,ResnetDSA,P_wvec,MSELoss,1000,0.725460601747036,0.0018302629542304,0.0,0.009,0.0,1.463,0.209,0.225,0.033,0.0
