epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.002032,0.001252,0.0,0.0,0.0,0.0,0.0,0.00066,0.306094,5082.23,5153.0,0.0001,18.55
2,MSELoss_normed,0.000989,0.000536,0.0,0.0,0.0,0.000999,0.000999,0.000906,0.785691,5033.8,4926.0,0.0001,16.05
3,MSELoss_normed,0.000522,0.000362,0.0,0.0,0.0,0.0,0.0,0.001482,0.862983,3767.11,3220.0,0.0001,15.87
4,MSELoss_normed,0.000382,0.000287,0.000999,0.002997,0.005994,0.005994,0.008991,0.007589,0.89016,2163.31,1159.0,0.0001,16.08
5,MSELoss_normed,0.000326,0.000257,0.000999,0.001998,0.003996,0.005994,0.006993,0.008284,0.899555,1666.19,792.0,0.0001,16.07
6,MSELoss_normed,0.000289,0.000259,0.002997,0.003996,0.004995,0.005994,0.006993,0.010707,0.903052,1353.95,564.0,0.0001,16.17
7,MSELoss_normed,0.000272,0.000238,0.001998,0.002997,0.003996,0.003996,0.004995,0.010497,0.906029,1184.17,509.0,0.0001,16.01
8,MSELoss_normed,0.000263,0.00024,0.001998,0.002997,0.003996,0.005994,0.007992,0.01119,0.906472,1062.96,509.0,0.0001,16.24
9,MSELoss_normed,0.000257,0.000232,0.003996,0.005994,0.005994,0.007992,0.010989,0.01286,0.907987,1227.33,486.0,0.0001,15.89
10,MSELoss_normed,0.000252,0.000233,0.000999,0.002997,0.005994,0.007992,0.00999,0.011045,0.907609,1230.76,451.0,0.0001,15.98
11,MSELoss_normed,0.000249,0.00023,0.003996,0.004995,0.006993,0.006993,0.008991,0.013058,0.908708,1273.82,469.0,0.0001,16.18
12,MSELoss_normed,0.000247,0.000229,0.001998,0.003996,0.004995,0.00999,0.012987,0.012231,0.909016,1265.59,460.0,0.0001,16.18
13,MSELoss_normed,0.000243,0.000227,0.001998,0.004995,0.006993,0.008991,0.011988,0.013454,0.909966,1116.15,417.0,0.0001,16.5
14,MSELoss_normed,0.000242,0.000226,0.000999,0.002997,0.004995,0.005994,0.008991,0.011647,0.910188,1076.55,425.0,0.0001,16.4
15,MSELoss_normed,0.000241,0.000228,0.001998,0.002997,0.002997,0.003996,0.006993,0.012284,0.909741,969.83,438.0,0.0001,15.93
16,MSELoss_normed,0.00024,0.000226,0.002997,0.003996,0.004995,0.005994,0.007992,0.013305,0.910876,1120.75,420.0,0.0001,15.82
17,MSELoss_normed,0.00024,0.000229,0.000999,0.002997,0.002997,0.003996,0.004995,0.010904,0.908395,984.67,460.0,0.0001,17.49
18,MSELoss_normed,0.00024,0.00023,0.004995,0.005994,0.006993,0.00999,0.010989,0.015481,0.911701,1018.19,384.0,0.0001,15.78
19,MSELoss_normed,0.000239,0.000225,0.001998,0.003996,0.005994,0.006993,0.00999,0.012944,0.910948,1166.92,435.0,0.0001,16.2
20,MSELoss_normed,0.000237,0.000229,0.002997,0.004995,0.005994,0.007992,0.00999,0.013834,0.909852,1228.05,423.0,0.0001,16.6
