epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss,0.03099,0.010387,0.000999,0.000999,0.002997,0.002997,0.003996,0.006189,0.931318,1302.61,636.0,0.0001,19.87
2,MSELoss,0.014923,0.005929,0.000999,0.000999,0.002997,0.002997,0.003996,0.006228,0.952597,1043.53,636.0,0.0001,15.93
3,MSELoss,0.010801,0.00505,0.000999,0.001998,0.003996,0.004995,0.005994,0.007234,0.96084,925.09,628.0,0.0001,16.09
4,MSELoss,0.008623,0.004338,0.002997,0.002997,0.006993,0.007992,0.00999,0.010837,0.963905,868.26,575.0,0.0001,16.07
5,MSELoss,0.007593,0.00461,0.001998,0.002997,0.005994,0.007992,0.00999,0.010318,0.966112,785.1,560.0,0.0001,16.14
6,MSELoss,0.007043,0.003974,0.000999,0.002997,0.006993,0.007992,0.008991,0.010153,0.966573,818.16,549.0,0.0001,16.93
7,MSELoss,0.0066,0.004426,0.002997,0.003996,0.005994,0.007992,0.008991,0.011506,0.96749,730.6,520.0,0.0001,15.92
8,MSELoss,0.006343,0.003833,0.002997,0.003996,0.006993,0.008991,0.011988,0.011987,0.968513,735.49,532.0,0.0001,15.67
9,MSELoss,0.00597,0.003728,0.002997,0.003996,0.008991,0.00999,0.012987,0.012475,0.968757,738.02,539.0,0.0001,15.49
10,MSELoss,0.005705,0.00374,0.001998,0.004995,0.00999,0.00999,0.010989,0.012267,0.969641,727.28,532.0,0.0001,15.52
11,MSELoss,0.005514,0.003599,0.000999,0.002997,0.008991,0.010989,0.012987,0.011242,0.969785,727.98,543.0,0.0001,15.46
12,MSELoss,0.005346,0.003688,0.001998,0.004995,0.007992,0.008991,0.012987,0.011399,0.968386,799.57,560.0,0.0001,15.5
13,MSELoss,0.005244,0.003824,0.003996,0.003996,0.00999,0.011988,0.013986,0.014088,0.970307,673.92,497.0,0.0001,15.36
14,MSELoss,0.005081,0.003523,0.004995,0.007992,0.010989,0.010989,0.011988,0.014702,0.970572,699.57,527.0,0.0001,15.4
15,MSELoss,0.00488,0.003417,0.002997,0.004995,0.008991,0.008991,0.012987,0.013393,0.97087,680.41,502.0,0.0001,15.82
16,MSELoss,0.004795,0.003943,0.003996,0.004995,0.007992,0.008991,0.012987,0.013807,0.970472,694.21,513.0,0.0001,15.5
17,MSELoss,0.004857,0.003404,0.002997,0.005994,0.007992,0.010989,0.013986,0.013681,0.971035,665.2,499.0,0.0001,15.48
18,MSELoss,0.004706,0.003431,0.003996,0.005994,0.008991,0.00999,0.011988,0.013808,0.970974,695.32,514.0,0.0001,15.22
19,MSELoss,0.004636,0.003404,0.003996,0.005994,0.008991,0.008991,0.00999,0.014547,0.971549,624.26,451.0,0.0001,16.24
20,MSELoss,0.004518,0.003671,0.002997,0.005994,0.00999,0.010989,0.011988,0.014479,0.971831,631.0,462.0,0.0001,15.88
21,MSELoss,0.004556,0.003355,0.001998,0.003996,0.00999,0.011988,0.014985,0.0135,0.971623,663.26,493.0,0.0001,15.51
22,MSELoss,0.004473,0.003393,0.002997,0.004995,0.008991,0.010989,0.011988,0.013925,0.971296,650.32,496.0,0.0001,15.57
23,MSELoss,0.00441,0.003464,0.001998,0.007992,0.010989,0.011988,0.013986,0.015314,0.971993,586.33,425.0,0.0001,15.43
24,MSELoss,0.004336,0.003315,0.002997,0.005994,0.008991,0.00999,0.010989,0.014116,0.971709,643.31,479.0,0.0001,15.46
25,MSELoss,0.004285,0.003423,0.003996,0.004995,0.00999,0.010989,0.011988,0.014706,0.971603,638.0,463.0,0.0001,16.3
26,MSELoss,0.004295,0.003285,0.004995,0.006993,0.010989,0.011988,0.012987,0.015571,0.971831,642.5,489.0,0.0001,16.54
27,MSELoss,0.004268,0.003462,0.001998,0.007992,0.010989,0.013986,0.014985,0.015177,0.972169,607.15,448.0,0.0001,16.95
28,MSELoss,0.004256,0.003336,0.001998,0.005994,0.00999,0.010989,0.011988,0.014135,0.971997,627.7,459.0,0.0001,16.54
29,MSELoss,0.004221,0.003288,0.001998,0.004995,0.00999,0.010989,0.015984,0.014704,0.97204,600.03,435.0,0.0001,16.28
30,MSELoss,0.004178,0.003329,0.001998,0.005994,0.010989,0.011988,0.014985,0.014685,0.972165,634.14,480.0,0.0001,16.13
