epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,CosineLoss,0.276493,0.125276,0.001998,0.001998,0.001998,0.003996,0.003996,0.006664,0.874619,912.69,612.0,0.0001,19.11
2,CosineLoss,0.155867,0.103413,0.000999,0.001998,0.001998,0.002997,0.002997,0.006469,0.896538,706.71,596.0,0.0001,15.9
3,CosineLoss,0.130676,0.098419,0.000999,0.000999,0.000999,0.000999,0.002997,0.006778,0.901531,664.48,554.0,0.0001,15.64
4,CosineLoss,0.119463,0.095865,0.000999,0.000999,0.000999,0.001998,0.003996,0.007292,0.904089,636.81,523.0,0.0001,15.79
5,CosineLoss,0.11241,0.094283,0.000999,0.001998,0.001998,0.001998,0.001998,0.007952,0.905678,608.35,491.0,0.0001,16.16
6,CosineLoss,0.10785,0.09306,0.000999,0.002997,0.002997,0.002997,0.003996,0.009303,0.906898,578.89,441.0,0.0001,15.8
7,CosineLoss,0.104338,0.092063,0.000999,0.000999,0.002997,0.006993,0.006993,0.010328,0.907896,557.24,425.0,0.0001,15.68
8,CosineLoss,0.102,0.090929,0.000999,0.000999,0.003996,0.004995,0.008991,0.01057,0.909036,543.02,416.0,0.0001,15.36
9,CosineLoss,0.09979,0.090434,0.000999,0.002997,0.006993,0.006993,0.011988,0.012986,0.909534,523.71,404.0,0.0001,15.19
10,CosineLoss,0.098229,0.089995,0.000999,0.001998,0.006993,0.00999,0.013986,0.013589,0.909973,512.89,382.0,0.0001,15.29
11,CosineLoss,0.097262,0.089713,0.003996,0.005994,0.005994,0.007992,0.011988,0.015098,0.910259,515.31,395.0,0.0001,15.24
12,CosineLoss,0.096408,0.089416,0.000999,0.002997,0.003996,0.006993,0.00999,0.012668,0.910559,516.82,380.0,0.0001,15.34
13,CosineLoss,0.095439,0.088618,0.002997,0.004995,0.004995,0.008991,0.012987,0.015276,0.911355,498.07,364.0,0.0001,15.35
14,CosineLoss,0.094425,0.088473,0.001998,0.005994,0.005994,0.008991,0.010989,0.015229,0.911508,492.16,356.0,0.0001,15.73
15,CosineLoss,0.094071,0.088373,0.003996,0.004995,0.006993,0.00999,0.010989,0.01534,0.911601,500.69,371.0,0.0001,15.58
16,CosineLoss,0.093182,0.087778,0.002997,0.006993,0.011988,0.012987,0.018981,0.017715,0.912196,472.32,338.0,0.0001,15.23
17,CosineLoss,0.09275,0.087539,0.000999,0.002997,0.006993,0.011988,0.014985,0.015814,0.912428,468.12,333.0,0.0001,15.21
18,CosineLoss,0.091993,0.087411,0.001998,0.004995,0.007992,0.00999,0.014985,0.015872,0.912547,480.55,345.0,0.0001,15.48
19,CosineLoss,0.091625,0.087345,0.002997,0.005994,0.008991,0.010989,0.012987,0.0168,0.912641,479.6,335.0,0.0001,15.25
20,CosineLoss,0.090652,0.086719,0.002997,0.004995,0.005994,0.007992,0.012987,0.016155,0.913263,463.46,322.0,0.0001,15.56
21,CosineLoss,0.090384,0.08638,0.000999,0.005994,0.008991,0.00999,0.013986,0.016778,0.913581,456.59,324.0,0.0001,15.87
22,CosineLoss,0.089871,0.086417,0.001998,0.004995,0.006993,0.007992,0.011988,0.015731,0.913559,468.06,337.0,0.0001,15.48
23,CosineLoss,0.08934,0.086311,0.003996,0.004995,0.00999,0.012987,0.013986,0.018427,0.913668,465.35,328.0,0.0001,15.62
24,CosineLoss,0.088648,0.085589,0.002997,0.004995,0.006993,0.00999,0.013986,0.018193,0.914394,446.16,306.0,0.0001,15.78
25,CosineLoss,0.08862,0.085718,0.000999,0.002997,0.007992,0.00999,0.015984,0.016823,0.914244,451.54,308.0,0.0001,15.58
26,CosineLoss,0.087803,0.085109,0.001998,0.002997,0.007992,0.010989,0.016983,0.018477,0.914853,437.41,293.0,0.0001,15.46
27,CosineLoss,0.087269,0.084875,0.001998,0.005994,0.010989,0.012987,0.020979,0.02029,0.915099,436.85,283.0,0.0001,15.32
28,CosineLoss,0.086815,0.084618,0.002997,0.004995,0.00999,0.015984,0.016983,0.020556,0.915354,425.58,281.0,0.0001,15.21
29,CosineLoss,0.086452,0.084248,0.003996,0.00999,0.012987,0.018981,0.023976,0.024042,0.915728,422.45,263.0,0.0001,15.39
30,CosineLoss,0.086188,0.083985,0.002997,0.005994,0.011988,0.014985,0.024975,0.023314,0.91599,415.66,262.0,0.0001,15.53
