epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,CosineLoss,0.402509,0.175701,0.0,0.000999,0.003996,0.006993,0.008991,0.006645,0.824356,622.33,618.0,0.0001,19.26
2,CosineLoss,0.224248,0.148265,0.0,0.0,0.000999,0.002997,0.003996,0.005748,0.85183,619.91,613.0,0.0001,15.62
3,CosineLoss,0.190876,0.142615,0.0,0.0,0.001998,0.003996,0.003996,0.005915,0.857492,614.5,607.0,0.0001,17.02
4,CosineLoss,0.17517,0.140616,0.0,0.0,0.001998,0.004995,0.004995,0.00633,0.859484,608.86,604.0,0.0001,16.38
5,CosineLoss,0.166239,0.139854,0.000999,0.001998,0.001998,0.003996,0.004995,0.007307,0.860246,601.01,598.0,0.0001,16.36
6,CosineLoss,0.159414,0.139105,0.000999,0.001998,0.003996,0.005994,0.006993,0.008089,0.861006,590.37,581.0,0.0001,16.39
7,CosineLoss,0.154972,0.138547,0.0,0.002997,0.002997,0.004995,0.006993,0.00759,0.861548,583.05,567.0,0.0001,15.56
8,CosineLoss,0.151491,0.138039,0.000999,0.001998,0.003996,0.006993,0.006993,0.00843,0.862066,574.92,558.0,0.0001,15.38
9,CosineLoss,0.148699,0.137122,0.0,0.000999,0.002997,0.006993,0.006993,0.007937,0.862979,565.45,547.0,0.0001,15.64
10,CosineLoss,0.146196,0.136669,0.0,0.002997,0.003996,0.007992,0.007992,0.008584,0.863432,557.98,544.0,0.0001,15.79
11,CosineLoss,0.144263,0.136299,0.0,0.001998,0.002997,0.006993,0.008991,0.008727,0.863797,550.99,531.0,0.0001,15.86
12,CosineLoss,0.143104,0.136093,0.0,0.000999,0.001998,0.007992,0.010989,0.008799,0.864004,546.38,514.0,0.0001,15.5
13,CosineLoss,0.141551,0.135762,0.0,0.002997,0.003996,0.006993,0.010989,0.00925,0.864331,543.97,515.0,0.0001,15.4
14,CosineLoss,0.140132,0.13554,0.0,0.002997,0.004995,0.006993,0.00999,0.009427,0.864559,542.52,514.0,0.0001,15.25
15,CosineLoss,0.139495,0.135173,0.0,0.003996,0.004995,0.007992,0.00999,0.009778,0.864926,536.72,509.0,0.0001,15.33
16,CosineLoss,0.138842,0.134774,0.0,0.003996,0.004995,0.008991,0.008991,0.009807,0.865325,530.34,494.0,0.0001,15.63
17,CosineLoss,0.138039,0.134595,0.0,0.003996,0.006993,0.007992,0.008991,0.010229,0.865504,524.5,485.0,0.0001,15.47
18,CosineLoss,0.137365,0.134416,0.000999,0.003996,0.007992,0.008991,0.010989,0.011046,0.865681,525.34,487.0,0.0001,15.41
19,CosineLoss,0.137148,0.134086,0.0,0.002997,0.002997,0.007992,0.008991,0.010028,0.866019,517.11,473.0,0.0001,15.61
20,CosineLoss,0.136245,0.133909,0.0,0.004995,0.005994,0.00999,0.010989,0.011024,0.866192,515.46,466.0,0.0001,15.72
21,CosineLoss,0.13594,0.133521,0.0,0.005994,0.006993,0.008991,0.012987,0.011649,0.866574,507.37,459.0,0.0001,15.57
22,CosineLoss,0.134999,0.133249,0.0,0.004995,0.006993,0.00999,0.011988,0.01167,0.866852,502.09,455.0,0.0001,15.38
23,CosineLoss,0.135022,0.133327,0.0,0.002997,0.008991,0.010989,0.011988,0.011503,0.866765,504.85,458.0,0.0001,15.45
24,CosineLoss,0.134526,0.132935,0.000999,0.006993,0.008991,0.011988,0.013986,0.013091,0.867159,494.52,441.0,0.0001,15.58
25,CosineLoss,0.133736,0.132643,0.001998,0.008991,0.00999,0.00999,0.012987,0.014458,0.867451,490.29,444.0,0.0001,15.53
26,CosineLoss,0.133562,0.1324,0.001998,0.005994,0.007992,0.010989,0.011988,0.013855,0.8677,486.52,439.0,0.0001,15.4
27,CosineLoss,0.133286,0.132229,0.000999,0.007992,0.00999,0.012987,0.014985,0.013933,0.867864,482.72,420.0,0.0001,15.93
28,CosineLoss,0.13316,0.132099,0.000999,0.007992,0.008991,0.012987,0.015984,0.01416,0.867998,483.27,429.0,0.0001,15.59
29,CosineLoss,0.132981,0.131727,0.000999,0.006993,0.010989,0.011988,0.013986,0.014531,0.86837,474.82,415.0,0.0001,15.78
30,CosineLoss,0.132569,0.131532,0.001998,0.008991,0.010989,0.013986,0.015984,0.01586,0.868564,469.51,407.0,0.0001,15.61
