epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,CosineLoss_normed,0.402509,0.175701,0.0,0.000999,0.003996,0.006993,0.008991,0.006645,0.824356,622.34,618.0,0.0001,18.46
2,CosineLoss_normed,0.224246,0.148267,0.0,0.0,0.000999,0.002997,0.003996,0.005742,0.851828,619.91,613.0,0.0001,15.31
3,CosineLoss_normed,0.190898,0.142607,0.0,0.0,0.001998,0.003996,0.003996,0.005909,0.857501,614.69,608.0,0.0001,15.26
4,CosineLoss_normed,0.174959,0.140553,0.0,0.0,0.000999,0.004995,0.004995,0.006285,0.859547,608.13,603.0,0.0001,15.41
5,CosineLoss_normed,0.165802,0.139857,0.0,0.000999,0.001998,0.003996,0.004995,0.006617,0.860241,602.09,595.0,0.0001,15.26
6,CosineLoss_normed,0.159246,0.13923,0.000999,0.000999,0.003996,0.005994,0.005994,0.007894,0.860878,592.36,583.0,0.0001,15.33
7,CosineLoss_normed,0.154975,0.138515,0.0,0.002997,0.002997,0.006993,0.006993,0.007732,0.861579,584.69,571.0,0.0001,15.38
8,CosineLoss_normed,0.151571,0.138184,0.000999,0.002997,0.004995,0.006993,0.006993,0.008851,0.861918,575.91,558.0,0.0001,15.68
9,CosineLoss_normed,0.148776,0.137346,0.000999,0.003996,0.004995,0.006993,0.007992,0.00909,0.862754,569.03,558.0,0.0001,15.63
10,CosineLoss_normed,0.146097,0.1369,0.000999,0.003996,0.005994,0.007992,0.008991,0.009566,0.863198,560.7,544.0,0.0001,15.46
11,CosineLoss_normed,0.143951,0.136353,0.0,0.001998,0.003996,0.006993,0.008991,0.00884,0.863738,552.89,532.0,0.0001,15.2
12,CosineLoss_normed,0.142785,0.136235,0.0,0.002997,0.004995,0.007992,0.008991,0.009167,0.863857,550.05,517.0,0.0001,15.43
13,CosineLoss_normed,0.141201,0.135799,0.0,0.003996,0.005994,0.006993,0.008991,0.009362,0.864291,543.91,510.0,0.0001,15.48
14,CosineLoss_normed,0.13999,0.135645,0.0,0.003996,0.005994,0.006993,0.008991,0.009471,0.864452,543.57,514.0,0.0001,15.58
15,CosineLoss_normed,0.139242,0.135244,0.0,0.002997,0.006993,0.00999,0.00999,0.009766,0.864856,537.52,514.0,0.0001,15.77
16,CosineLoss_normed,0.138614,0.134928,0.0,0.002997,0.003996,0.008991,0.00999,0.00952,0.865171,531.86,496.0,0.0001,15.72
17,CosineLoss_normed,0.137892,0.134633,0.0,0.003996,0.003996,0.007992,0.008991,0.009817,0.865466,525.49,487.0,0.0001,15.96
18,CosineLoss_normed,0.137305,0.134567,0.0,0.001998,0.005994,0.008991,0.00999,0.009761,0.865527,526.77,491.0,0.0001,15.97
19,CosineLoss_normed,0.13714,0.134251,0.0,0.003996,0.005994,0.008991,0.00999,0.010482,0.865852,519.08,473.0,0.0001,15.46
20,CosineLoss_normed,0.136295,0.134016,0.0,0.005994,0.006993,0.010989,0.012987,0.011277,0.86608,517.04,466.0,0.0001,15.38
21,CosineLoss_normed,0.135904,0.133741,0.0,0.002997,0.005994,0.008991,0.010989,0.010507,0.866353,513.17,469.0,0.0001,15.56
22,CosineLoss_normed,0.135143,0.133218,0.0,0.004995,0.006993,0.010989,0.011988,0.011707,0.866877,502.38,457.0,0.0001,15.42
23,CosineLoss_normed,0.135106,0.133432,0.0,0.004995,0.008991,0.010989,0.013986,0.011892,0.866656,507.05,461.0,0.0001,15.3
24,CosineLoss_normed,0.134551,0.13307,0.000999,0.006993,0.007992,0.011988,0.012987,0.012829,0.867017,496.48,446.0,0.0001,15.47
25,CosineLoss_normed,0.133995,0.132755,0.000999,0.006993,0.00999,0.010989,0.013986,0.013399,0.86734,494.35,446.0,0.0001,15.62
26,CosineLoss_normed,0.133525,0.132466,0.0,0.006993,0.00999,0.011988,0.013986,0.01316,0.867632,488.62,448.0,0.0001,15.98
27,CosineLoss_normed,0.13347,0.132286,0.000999,0.006993,0.008991,0.012987,0.014985,0.013495,0.867802,486.55,434.0,0.0001,15.67
28,CosineLoss_normed,0.133078,0.131785,0.000999,0.005994,0.00999,0.012987,0.014985,0.013993,0.868304,477.3,425.0,0.0001,15.46
29,CosineLoss_normed,0.132771,0.131558,0.001998,0.007992,0.010989,0.014985,0.016983,0.015609,0.868536,471.5,418.0,0.0001,15.35
30,CosineLoss_normed,0.132712,0.131739,0.001998,0.006993,0.008991,0.012987,0.014985,0.014884,0.868354,474.37,416.0,0.0001,15.38
