epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,CosineLoss_normed,0.278374,0.126893,0.000999,0.001998,0.003996,0.003996,0.003996,0.006287,0.873006,940.44,613.0,0.0001,410.79
2,CosineLoss_normed,0.157929,0.102989,0.000999,0.000999,0.001998,0.002997,0.002997,0.006452,0.896963,700.92,586.0,0.0001,405.26
3,CosineLoss_normed,0.131431,0.098089,0.000999,0.000999,0.000999,0.000999,0.002997,0.006857,0.901857,663.36,559.0,0.0001,423.24
4,CosineLoss_normed,0.118517,0.096425,0.000999,0.001998,0.001998,0.001998,0.003996,0.007232,0.903533,647.37,538.0,0.0001,426.29
5,CosineLoss_normed,0.112417,0.094387,0.000999,0.000999,0.001998,0.002997,0.002997,0.008063,0.90557,607.07,494.0,0.0001,407.65
6,CosineLoss_normed,0.107935,0.093227,0.000999,0.000999,0.001998,0.002997,0.002997,0.008027,0.906734,590.11,472.0,0.0001,432.94
7,CosineLoss_normed,0.104607,0.09236,0.0,0.000999,0.000999,0.000999,0.002997,0.007996,0.907608,569.1,438.0,0.0001,429.1
8,CosineLoss_normed,0.102266,0.091228,0.000999,0.002997,0.003996,0.004995,0.005994,0.010775,0.908745,546.75,420.0,0.0001,412.13
9,CosineLoss_normed,0.100032,0.090679,0.000999,0.002997,0.002997,0.004995,0.006993,0.011873,0.90928,521.16,402.0,0.0001,428.83
10,CosineLoss_normed,0.098521,0.089955,0.003996,0.003996,0.004995,0.006993,0.010989,0.013934,0.910015,520.37,398.0,0.0001,428.94
11,CosineLoss_normed,0.097168,0.0897,0.001998,0.003996,0.006993,0.007992,0.012987,0.014458,0.91027,505.57,376.0,0.0001,430.22
12,CosineLoss_normed,0.096169,0.089394,0.003996,0.004995,0.004995,0.005994,0.008991,0.014208,0.910589,520.22,395.0,0.0001,414.48
13,CosineLoss_normed,0.095231,0.089006,0.003996,0.004995,0.007992,0.008991,0.012987,0.015645,0.910975,505.35,375.0,0.0001,434.66
14,CosineLoss_normed,0.094459,0.088707,0.004995,0.007992,0.00999,0.013986,0.015984,0.01791,0.911272,499.62,366.0,0.0001,436.79
15,CosineLoss_normed,0.093849,0.088201,0.003996,0.005994,0.008991,0.011988,0.014985,0.017816,0.911753,475.17,346.0,0.0001,413.9
16,CosineLoss_normed,0.093186,0.088168,0.001998,0.005994,0.011988,0.013986,0.016983,0.017272,0.911808,475.25,341.0,0.0001,432.88
17,CosineLoss_normed,0.092489,0.087686,0.002997,0.003996,0.006993,0.008991,0.012987,0.015988,0.912281,479.57,334.0,0.0001,439.52
18,CosineLoss_normed,0.091726,0.087461,0.001998,0.002997,0.003996,0.007992,0.012987,0.01505,0.912498,474.51,340.0,0.0001,417.53
19,CosineLoss_normed,0.0913,0.087102,0.001998,0.004995,0.010989,0.016983,0.021978,0.01891,0.912871,454.52,306.0,0.0001,441.13
20,CosineLoss_normed,0.09086,0.086683,0.002997,0.004995,0.011988,0.014985,0.015984,0.01916,0.913281,447.05,306.0,0.0001,437.89
21,CosineLoss_normed,0.090579,0.086394,0.000999,0.001998,0.006993,0.011988,0.017982,0.016782,0.913566,453.28,311.0,0.0001,419.29
22,CosineLoss_normed,0.090033,0.086127,0.000999,0.005994,0.00999,0.012987,0.015984,0.018226,0.913837,443.8,294.0,0.0001,433.89
23,CosineLoss_normed,0.089136,0.08571,0.001998,0.005994,0.011988,0.012987,0.015984,0.019175,0.914263,445.48,299.0,0.0001,433.51
24,CosineLoss_normed,0.088589,0.086192,0.002997,0.005994,0.00999,0.011988,0.013986,0.017918,0.913789,461.51,339.0,0.0001,433.73
25,CosineLoss_normed,0.088517,0.085589,0.002997,0.003996,0.010989,0.015984,0.020979,0.019465,0.914391,450.43,310.0,0.0001,417.24
26,CosineLoss_normed,0.088224,0.084979,0.000999,0.005994,0.00999,0.013986,0.022977,0.021043,0.914983,423.96,266.0,0.0001,433.78
27,CosineLoss_normed,0.087341,0.084686,0.001998,0.004995,0.013986,0.015984,0.018981,0.02103,0.915281,425.15,269.0,0.0001,434.76
28,CosineLoss_normed,0.087127,0.084465,0.001998,0.008991,0.014985,0.016983,0.023976,0.022,0.915513,425.84,262.0,0.0001,418.23
29,CosineLoss_normed,0.086362,0.084377,0.001998,0.00999,0.012987,0.013986,0.022977,0.021589,0.915597,427.63,274.0,0.0001,435.01
30,CosineLoss_normed,0.086193,0.083794,0.004995,0.007992,0.016983,0.021978,0.026973,0.025677,0.916173,407.5,245.0,0.0001,439.22
