epoch,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,0.031436,0.008872,0.0,0.000999,0.000999,0.000999,0.000999,0.001953,0.995613,3365.82,2416.0,0.0001,18.28
2,0.014312,0.004484,0.0,0.0,0.0,0.000999,0.002997,0.00262,0.997925,2358.74,1626.0,0.0001,15.22
3,0.011726,0.004385,0.0,0.0,0.0,0.0,0.000999,0.001681,0.998588,2954.67,1784.0,0.0001,14.69
4,0.010371,0.005064,0.0,0.0,0.0,0.0,0.000999,0.001737,0.998474,2901.38,2089.0,0.0001,15.47
5,0.009422,0.006387,0.0,0.0,0.0,0.0,0.000999,0.002427,0.998851,2880.49,1909.0,0.0001,15.11
6,0.009002,0.004157,0.0,0.000999,0.000999,0.000999,0.001998,0.002465,0.999121,2285.56,1401.0,0.0001,15.28
7,0.008719,0.003863,0.0,0.0,0.0,0.0,0.000999,0.002457,0.999194,2280.76,1432.0,0.0001,18.42
8,0.007965,0.005492,0.0,0.000999,0.000999,0.000999,0.001998,0.00251,0.999353,2584.83,1733.0,0.0001,15.09
9,0.007632,0.003749,0.0,0.0,0.0,0.0,0.000999,0.002054,0.999564,3207.27,2025.0,0.0001,15.04
10,0.007411,0.004062,0.0,0.0,0.0,0.0,0.000999,0.002993,0.999565,2037.97,1058.0,0.0001,15.24
11,0.007074,0.004713,0.0,0.0,0.0,0.0,0.000999,0.001639,0.999643,3519.43,2917.0,0.0001,14.85
12,0.006968,0.003745,0.0,0.0,0.0,0.0,0.000999,0.001966,0.999721,2535.7,1670.0,0.0001,15.29
13,0.00692,0.005227,0.0,0.0,0.0,0.0,0.000999,0.001348,0.99969,3574.49,2984.0,0.0001,14.83
14,0.006749,0.003689,0.0,0.0,0.0,0.0,0.000999,0.002027,0.999774,2763.34,1805.0,0.0001,14.99
15,0.006588,0.003759,0.0,0.0,0.0,0.0,0.000999,0.002463,0.999816,2553.47,1133.0,0.0001,15.01
16,0.006519,0.00381,0.0,0.0,0.0,0.0,0.000999,0.00258,0.99984,2161.35,1442.0,0.0001,15.08
17,0.006528,0.004804,0.0,0.0,0.0,0.0,0.000999,0.002672,0.999838,2108.39,1203.0,0.0001,15.22
18,0.006358,0.003611,0.0,0.0,0.0,0.0,0.000999,0.001952,0.999867,2701.64,1974.0,0.0001,15.37
19,0.006135,0.004294,0.0,0.0,0.0,0.0,0.000999,0.002262,0.999843,3141.71,2198.0,0.0001,15.22
20,0.00616,0.003589,0.0,0.0,0.0,0.0,0.000999,0.002555,0.999862,2656.65,1973.0,0.0001,14.92
21,0.006046,0.005386,0.0,0.0,0.0,0.0,0.000999,0.002675,0.999832,2334.83,1456.0,0.0001,15.08
22,0.006014,0.003642,0.0,0.0,0.0,0.0,0.000999,0.002626,0.999872,3044.15,2050.0,0.0001,15.06
23,0.005866,0.003681,0.0,0.0,0.0,0.0,0.000999,0.002063,0.999872,2996.97,2323.0,0.0001,15.46
24,0.005719,0.003578,0.0,0.0,0.0,0.0,0.000999,0.002064,0.99989,2962.01,2485.0,0.0001,15.31
25,0.005889,0.003619,0.0,0.0,0.0,0.0,0.000999,0.002416,0.999889,2652.2,1430.0,0.0001,14.97
26,0.005614,0.003645,0.0,0.0,0.0,0.0,0.000999,0.002072,0.999889,2282.97,1499.0,0.0001,15.07
27,0.005736,0.003927,0.0,0.000999,0.000999,0.000999,0.001998,0.002798,0.999895,2075.96,1216.0,0.0001,15.2
28,0.00566,0.003692,0.0,0.0,0.0,0.0,0.000999,0.002595,0.999906,2385.29,1027.0,0.0001,15.17
29,0.005533,0.004009,0.0,0.0,0.0,0.0,0.000999,0.002842,0.999887,1704.34,932.0,0.0001,15.32
30,0.005665,0.00371,0.0,0.0,0.0,0.0,0.000999,0.001966,0.999898,2505.91,1925.0,5e-05,15.26
