epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss,0.039513,0.014769,0.000999,0.001998,0.002997,0.004995,0.005994,0.006124,0.93046,2087.28,1183.0,0.0001,21.64
2,MSELoss,0.020572,0.010221,0.003996,0.005994,0.010989,0.010989,0.012987,0.013141,0.947788,1413.24,684.0,0.0001,16.65
3,MSELoss,0.015784,0.008824,0.002997,0.007992,0.00999,0.012987,0.014985,0.01492,0.955156,1126.68,443.0,0.0001,16.44
4,MSELoss,0.013274,0.008751,0.004995,0.005994,0.00999,0.013986,0.01998,0.0181,0.958882,870.42,312.0,0.0001,16.53
5,MSELoss,0.012054,0.008481,0.003996,0.005994,0.010989,0.013986,0.014985,0.01715,0.959802,856.33,304.0,0.0001,16.8
6,MSELoss,0.011332,0.008277,0.004995,0.007992,0.012987,0.014985,0.016983,0.018404,0.959972,905.28,309.0,0.0001,16.42
7,MSELoss,0.010713,0.008674,0.002997,0.004995,0.00999,0.013986,0.015984,0.016743,0.960084,944.98,332.0,0.0001,16.36
8,MSELoss,0.010519,0.008274,0.002997,0.004995,0.00999,0.011988,0.015984,0.017606,0.961922,683.1,243.0,0.0001,15.77
9,MSELoss,0.010288,0.007541,0.003996,0.005994,0.010989,0.015984,0.016983,0.018892,0.962252,759.82,257.0,0.0001,15.83
10,MSELoss,0.00986,0.008005,0.002997,0.006993,0.012987,0.016983,0.01998,0.018901,0.962342,784.88,258.0,0.0001,15.72
11,MSELoss,0.009567,0.007393,0.004995,0.006993,0.00999,0.011988,0.012987,0.018793,0.962538,690.26,233.0,0.0001,15.4
12,MSELoss,0.009432,0.007276,0.002997,0.005994,0.011988,0.012987,0.018981,0.019204,0.963214,699.91,238.0,0.0001,15.27
13,MSELoss,0.0092,0.007181,0.003996,0.005994,0.010989,0.014985,0.015984,0.020246,0.963691,683.31,224.0,0.0001,15.49
14,MSELoss,0.009029,0.007229,0.001998,0.006993,0.011988,0.016983,0.021978,0.019529,0.963666,707.16,236.0,0.0001,15.72
15,MSELoss,0.008991,0.007193,0.002997,0.006993,0.013986,0.015984,0.01998,0.021357,0.963852,619.9,219.0,0.0001,15.51
16,MSELoss,0.008861,0.007193,0.003996,0.006993,0.011988,0.016983,0.022977,0.020968,0.963743,729.36,241.0,0.0001,15.68
17,MSELoss,0.00878,0.007315,0.005994,0.008991,0.013986,0.015984,0.01998,0.022159,0.963221,781.37,246.0,0.0001,15.42
18,MSELoss,0.008562,0.00714,0.003996,0.005994,0.008991,0.014985,0.018981,0.020759,0.964245,677.78,225.0,0.0001,15.32
19,MSELoss,0.008579,0.007332,0.002997,0.006993,0.011988,0.016983,0.017982,0.020088,0.963652,758.76,244.0,0.0001,15.41
20,MSELoss,0.008538,0.006967,0.002997,0.005994,0.008991,0.011988,0.021978,0.021484,0.964775,665.6,215.0,0.0001,15.22
21,MSELoss,0.008416,0.006978,0.002997,0.004995,0.010989,0.017982,0.025974,0.022447,0.965005,635.74,213.0,0.0001,15.48
22,MSELoss,0.008314,0.006951,0.003996,0.005994,0.012987,0.01998,0.025974,0.022942,0.964826,626.29,204.0,0.0001,15.72
23,MSELoss,0.008275,0.006999,0.004995,0.007992,0.010989,0.014985,0.020979,0.022298,0.964843,635.51,209.0,0.0001,15.59
24,MSELoss,0.008213,0.007026,0.004995,0.006993,0.014985,0.018981,0.025974,0.024658,0.965285,616.47,200.0,0.0001,15.75
25,MSELoss,0.008192,0.006939,0.004995,0.006993,0.013986,0.021978,0.024975,0.024517,0.964953,681.7,215.0,0.0001,16.19
26,MSELoss,0.008089,0.006983,0.005994,0.011988,0.017982,0.01998,0.021978,0.026153,0.965365,562.42,184.0,0.0001,16.39
27,MSELoss,0.008101,0.006844,0.003996,0.007992,0.015984,0.01998,0.027972,0.024912,0.965167,642.56,202.0,0.0001,15.74
28,MSELoss,0.008088,0.006899,0.006993,0.012987,0.018981,0.022977,0.025974,0.027574,0.965258,541.44,185.0,0.0001,15.39
29,MSELoss,0.007996,0.006979,0.004995,0.00999,0.017982,0.01998,0.024975,0.026167,0.96574,570.3,192.0,0.0001,15.63
30,MSELoss,0.00799,0.007078,0.005994,0.008991,0.017982,0.022977,0.028971,0.027341,0.965902,574.36,178.0,0.0001,16.01
