epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss,0.001536,0.000357,0.0,0.0,0.0,0.0,0.0,0.000911,0.786463,4399.39,4197.0,0.0001,21.17
2,MSELoss,0.000335,7.5e-05,0.0,0.0,0.0,0.0,0.0,0.000677,0.966305,4658.82,4413.0,0.0001,16.21
3,MSELoss,0.000187,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.000645,0.982245,4559.13,4282.0,0.0001,15.63
4,MSELoss,0.000125,3.2e-05,0.0,0.000999,0.000999,0.000999,0.000999,0.001971,0.986475,2487.11,2028.0,0.0001,16.32
5,MSELoss,6.5e-05,3e-05,0.0,0.0,0.0,0.0,0.0,0.00242,0.988828,1857.78,1432.0,0.0001,15.53
6,MSELoss,3.9e-05,1.5e-05,0.000999,0.000999,0.001998,0.002997,0.004995,0.005597,0.993082,1726.66,1274.0,0.0001,15.46
7,MSELoss,3e-05,1.5e-05,0.002997,0.003996,0.005994,0.007992,0.007992,0.008901,0.993737,1404.96,780.0,0.0001,15.22
8,MSELoss,2.2e-05,2e-05,0.002997,0.003996,0.003996,0.005994,0.007992,0.009088,0.993155,1232.49,684.0,0.0001,16.04
9,MSELoss,2e-05,9e-06,0.003996,0.007992,0.007992,0.007992,0.007992,0.010907,0.995326,1181.98,596.0,0.0001,16.29
10,MSELoss,1.8e-05,1.4e-05,0.003996,0.004995,0.007992,0.007992,0.007992,0.010933,0.994597,1163.39,572.0,0.0001,15.47
11,MSELoss,1.6e-05,1e-05,0.002997,0.002997,0.002997,0.003996,0.003996,0.008551,0.995185,1148.72,642.0,0.0001,15.23
12,MSELoss,1.6e-05,9e-06,0.003996,0.006993,0.007992,0.010989,0.011988,0.011699,0.995551,1126.53,526.0,0.0001,15.35
13,MSELoss,1.5e-05,9e-06,0.002997,0.003996,0.003996,0.003996,0.004995,0.008946,0.995585,1072.47,549.0,0.0001,15.64
