epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.002626,0.000464,0.0,0.0,0.0,0.0,0.0,0.000887,0.940938,3772.12,3057.0,0.0001,17.66
2,MSELoss_normed,0.000702,0.000141,0.0,0.0,0.0,0.0,0.0,0.001134,0.979465,3250.32,2596.0,0.0001,15.53
3,MSELoss_normed,0.000427,7.2e-05,0.0,0.0,0.0,0.0,0.0,0.001404,0.989707,2415.26,2168.0,0.0001,15.62
4,MSELoss_normed,0.000283,0.000122,0.000999,0.000999,0.001998,0.001998,0.001998,0.0035,0.988911,2101.66,1798.0,0.0001,15.29
5,MSELoss_normed,0.000217,0.000136,0.0,0.000999,0.000999,0.000999,0.000999,0.003781,0.989647,1859.58,1459.0,0.0001,15.22
6,MSELoss_normed,0.000151,4.9e-05,0.0,0.001998,0.003996,0.004995,0.006993,0.006248,0.994129,1470.18,891.0,0.0001,15.26
7,MSELoss_normed,0.000104,5.4e-05,0.001998,0.002997,0.002997,0.003996,0.004995,0.007654,0.994536,1290.01,663.0,0.0001,15.76
8,MSELoss_normed,8.5e-05,5.3e-05,0.001998,0.001998,0.003996,0.006993,0.006993,0.008606,0.994914,1136.45,578.0,0.0001,15.8
9,MSELoss_normed,7.6e-05,3.2e-05,0.003996,0.003996,0.004995,0.005994,0.005994,0.009976,0.995521,1107.62,569.0,0.0001,16.23
10,MSELoss_normed,6.6e-05,2.9e-05,0.003996,0.005994,0.006993,0.006993,0.007992,0.01114,0.995739,1048.4,525.0,0.0001,16.33
11,MSELoss_normed,6.3e-05,3.3e-05,0.000999,0.001998,0.002997,0.003996,0.004995,0.008092,0.995621,983.65,532.0,0.0001,16.37
12,MSELoss_normed,5.6e-05,2.9e-05,0.000999,0.003996,0.004995,0.006993,0.008991,0.009565,0.995774,1040.11,499.0,0.0001,15.97
13,MSELoss_normed,5.2e-05,3.3e-05,0.001998,0.002997,0.002997,0.004995,0.005994,0.008652,0.99585,964.03,497.0,0.0001,15.78
14,MSELoss_normed,5e-05,3e-05,0.002997,0.004995,0.004995,0.006993,0.008991,0.011224,0.995947,984.26,460.0,0.0001,15.7
15,MSELoss_normed,4.6e-05,3.3e-05,0.000999,0.001998,0.002997,0.003996,0.003996,0.008456,0.995697,1005.37,543.0,0.0001,15.22
16,MSELoss_normed,4.5e-05,2.7e-05,0.001998,0.001998,0.002997,0.005994,0.005994,0.00941,0.996021,943.96,475.0,0.0001,15.48
