epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss,0.006306,0.001915,0.000999,0.001998,0.001998,0.003996,0.005994,0.006796,0.927604,721.3,656.0,0.0001,21.98
2,MSELoss,0.002441,0.000523,0.000999,0.002997,0.002997,0.004995,0.006993,0.007596,0.978398,655.51,635.0,0.0001,16.52
3,MSELoss,0.001457,0.000335,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.990825,639.38,635.0,0.0001,16.24
4,MSELoss,0.001065,0.000201,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.993119,639.36,635.0,0.0001,16.54
5,MSELoss,0.000884,0.000177,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.993919,641.84,635.0,0.0001,17.26
6,MSELoss,0.000688,0.000138,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.995817,639.36,635.0,0.0001,17.24
7,MSELoss,0.000553,0.000195,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.996481,639.38,635.0,0.0001,17.69
8,MSELoss,0.000469,0.000132,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997164,639.38,635.0,0.0001,16.52
9,MSELoss,0.000395,6.5e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997789,639.38,635.0,0.0001,16.32
10,MSELoss,0.000336,6.2e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.998015,638.13,635.0,0.0001,16.48
11,MSELoss,0.000312,9.1e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007598,0.998013,636.9,635.0,0.0001,16.67
12,MSELoss,0.000282,7.3e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007598,0.997635,636.9,635.0,0.0001,16.53
13,MSELoss,0.00025,6.2e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007598,0.997911,638.13,635.0,0.0001,16.45
14,MSELoss,0.000252,7.3e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007598,0.998321,635.65,635.0,0.0001,16.51
15,MSELoss,0.000225,8.3e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007598,0.998531,635.66,635.0,0.0001,16.47
16,MSELoss,0.000215,0.000102,0.000999,0.002997,0.002997,0.004995,0.006993,0.007598,0.998589,636.9,635.0,0.0001,16.32
