epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.002899,0.000995,0.000999,0.001998,0.001998,0.003996,0.004995,0.004156,0.861667,3056.52,1283.0,0.0001,18.41
2,MSELoss_normed,0.001063,0.000347,0.000999,0.002997,0.002997,0.004995,0.006993,0.007594,0.953612,659.26,636.0,0.0001,15.61
3,MSELoss_normed,0.000606,0.000132,0.000999,0.002997,0.002997,0.004995,0.006993,0.007596,0.98264,651.77,635.0,0.0001,15.58
4,MSELoss_normed,0.000408,0.000134,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.990293,648.06,635.0,0.0001,15.85
5,MSELoss_normed,0.000286,0.000105,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.993844,641.86,635.0,0.0001,15.62
6,MSELoss_normed,0.000202,3.9e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.995632,644.35,635.0,0.0001,15.63
7,MSELoss_normed,0.000154,5.1e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.995916,640.63,635.0,0.0001,15.39
8,MSELoss_normed,0.000128,5e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.996667,641.87,635.0,0.0001,16.07
9,MSELoss_normed,0.000106,2.7e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.996711,639.38,635.0,0.0001,16.22
10,MSELoss_normed,9.2e-05,2.6e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.996951,639.38,635.0,0.0001,16.23
11,MSELoss_normed,8.7e-05,5.8e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.996651,639.38,635.0,0.0001,15.91
12,MSELoss_normed,8.3e-05,2.4e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997354,640.63,635.0,0.0001,15.78
13,MSELoss_normed,7.1e-05,2.4e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997925,641.87,635.0,0.0001,15.54
14,MSELoss_normed,7e-05,4.6e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997431,639.38,635.0,0.0001,15.78
15,MSELoss_normed,6.5e-05,2.1e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997787,639.39,635.0,0.0001,15.99
16,MSELoss_normed,6.1e-05,2.1e-05,0.000999,0.002997,0.002997,0.004995,0.006993,0.007597,0.997759,639.39,635.0,0.0001,16.58
