epoch,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,0.0146,0.0012,0.0,0.000999,0.001998,0.001998,0.001998,0.002143,0.994922,3448.09,2913.0,0.0001,18.14
2,0.005107,0.000412,0.000999,0.000999,0.000999,0.000999,0.000999,0.002525,0.997737,2746.12,2109.0,0.0001,14.87
3,0.003682,0.000374,0.0,0.0,0.0,0.000999,0.000999,0.002154,0.998433,3118.14,2385.0,0.0001,14.92
4,0.002801,0.000294,0.000999,0.000999,0.000999,0.001998,0.002997,0.003577,0.998812,2551.25,1889.0,0.0001,14.73
5,0.002381,0.000691,0.0,0.0,0.000999,0.000999,0.000999,0.001587,0.998941,3409.07,2739.0,0.0001,14.89
6,0.002043,0.000387,0.0,0.0,0.0,0.0,0.0,0.002227,0.999207,2480.53,1910.0,0.0001,15.83
7,0.00185,0.000297,0.0,0.0,0.0,0.000999,0.000999,0.002138,0.999286,2642.27,2128.0,0.0001,15.3
8,0.001634,0.00216,0.0,0.001998,0.001998,0.001998,0.001998,0.00281,0.999162,3195.25,2318.0,0.0001,15.65
9,0.001529,0.001538,0.000999,0.000999,0.001998,0.001998,0.001998,0.003183,0.999408,2765.93,2026.0,0.0001,15.35
10,0.0013,0.00026,0.0,0.0,0.0,0.0,0.0,0.001979,0.999637,2758.7,2293.0,0.0001,15.43
11,0.001256,8e-05,0.000999,0.000999,0.001998,0.001998,0.001998,0.003322,0.999699,2513.95,1917.0,0.0001,15.22
12,0.001018,0.000168,0.000999,0.000999,0.000999,0.000999,0.000999,0.002347,0.999799,2737.54,2242.0,0.0001,15.11
13,0.000981,0.00018,0.0,0.000999,0.000999,0.000999,0.000999,0.002105,0.999801,2579.5,2016.0,0.0001,14.95
14,0.001149,0.000103,0.0,0.0,0.0,0.0,0.000999,0.002134,0.999836,2709.03,2052.0,0.0001,14.8
15,0.000947,0.000142,0.0,0.000999,0.000999,0.000999,0.000999,0.002808,0.999859,2428.03,1698.0,0.0001,14.74
16,0.000874,9e-05,0.0,0.0,0.0,0.000999,0.000999,0.002394,0.999855,2560.97,1817.0,0.0001,14.76
17,0.000782,0.000308,0.000999,0.000999,0.000999,0.002997,0.002997,0.0034,0.99986,2823.93,2013.0,5e-05,15.07
18,0.000697,0.000149,0.0,0.001998,0.001998,0.001998,0.001998,0.003058,0.999892,2687.77,1867.0,5e-05,14.95
