epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.003842,0.000393,0.0,0.0,0.0,0.0,0.0,0.001245,0.985532,4408.1,4009.0,0.0001,17.96
2,MSELoss_normed,0.001221,0.000128,0.0,0.0,0.0,0.0,0.000999,0.001558,0.995106,3509.45,2951.0,0.0001,15.67
3,MSELoss_normed,0.000819,0.000109,0.0,0.0,0.0,0.0,0.0,0.001266,0.996726,4091.63,3674.0,0.0001,15.65
4,MSELoss_normed,0.000592,0.000172,0.0,0.0,0.0,0.0,0.0,0.001221,0.9973,3784.02,3410.0,0.0001,15.59
5,MSELoss_normed,0.000527,0.000855,0.0,0.0,0.0,0.000999,0.000999,0.00109,0.993705,4662.28,4536.0,0.0001,15.42
6,MSELoss_normed,0.000414,5.2e-05,0.0,0.0,0.0,0.0,0.0,0.001086,0.99896,3701.15,3148.0,0.0001,15.29
7,MSELoss_normed,0.000341,2.5e-05,0.000999,0.001998,0.001998,0.002997,0.002997,0.003069,0.999342,4083.39,3438.0,0.0001,15.66
8,MSELoss_normed,0.000242,8.4e-05,0.0,0.0,0.0,0.0,0.0,0.001269,0.999444,3679.08,3199.0,0.0001,15.4
9,MSELoss_normed,0.00019,7.3e-05,0.0,0.000999,0.000999,0.000999,0.000999,0.001811,0.999486,4300.44,3939.0,0.0001,15.42
10,MSELoss_normed,0.000185,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.001023,0.999691,3749.54,3426.0,0.0001,15.1
11,MSELoss_normed,0.000142,3.1e-05,0.0,0.0,0.000999,0.000999,0.000999,0.001888,0.999791,3282.22,2405.0,0.0001,15.4
12,MSELoss_normed,0.000128,6.3e-05,0.0,0.000999,0.000999,0.000999,0.000999,0.001883,0.999681,3427.71,2857.0,0.0001,15.71
13,MSELoss_normed,0.000108,2.4e-05,0.000999,0.000999,0.000999,0.000999,0.000999,0.002384,0.999803,3750.26,3012.0,0.0001,15.63
14,MSELoss_normed,9.1e-05,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.001288,0.999862,3700.31,3031.0,0.0001,15.38
15,MSELoss_normed,8e-05,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.001477,0.999673,3724.35,3081.0,0.0001,15.55
16,MSELoss_normed,7.6e-05,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.002342,0.999857,2469.37,1804.0,0.0001,15.91
17,MSELoss_normed,6.5e-05,2.4e-05,0.0,0.0,0.0,0.000999,0.000999,0.002805,0.999832,2113.71,1583.0,0.0001,15.55
18,MSELoss_normed,5.9e-05,9e-06,0.0,0.0,0.000999,0.000999,0.000999,0.002279,0.999891,2551.31,1671.0,0.0001,15.52
19,MSELoss_normed,5.4e-05,6e-06,0.001998,0.001998,0.001998,0.001998,0.001998,0.005112,0.999895,1773.7,1289.0,0.0001,15.33
20,MSELoss_normed,4.9e-05,6e-06,0.000999,0.000999,0.000999,0.001998,0.001998,0.004279,0.999906,1417.15,1051.0,0.0001,15.09
21,MSELoss_normed,4.7e-05,7e-06,0.0,0.0,0.000999,0.000999,0.001998,0.002897,0.999887,2493.84,1745.0,0.0001,15.13
