epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,cnn_1layer,mse,0.002966,0.001127,0.0,0.0,0.00068,0.829798,4475.46,3927.0,0.0001,20.87
2,cnn_1layer,mse,0.001118,0.000509,0.0,0.001998,0.002366,0.919675,2996.54,2219.0,0.0001,18.59
3,cnn_1layer,mse,0.000728,0.000378,0.000999,0.003996,0.005818,0.941553,2185.77,1425.0,0.0001,18.71
4,cnn_1layer,mse,0.000553,0.000338,0.000999,0.00999,0.01032,0.950697,1415.44,628.0,0.0001,17.91
5,cnn_1layer,mse,0.000457,0.000305,0.003996,0.008991,0.013102,0.955074,1174.32,464.0,0.0001,18.14
6,cnn_1layer,mse,0.000406,0.000282,0.002997,0.012987,0.014014,0.956278,1167.36,461.0,0.0001,18.39
7,cnn_1layer,mse,0.00037,0.00031,0.005994,0.013986,0.015633,0.95677,1057.02,408.0,0.0001,17.66
8,cnn_1layer,mse,0.000347,0.0003,0.004995,0.012987,0.015854,0.958831,859.13,313.0,0.0001,17.94
9,cnn_1layer,mse,0.000326,0.000256,0.002997,0.007992,0.013393,0.959757,796.35,306.0,0.0001,18.33
10,cnn_1layer,mse,0.000315,0.00028,0.003996,0.015984,0.01625,0.959962,808.16,293.0,0.0001,18.77
11,cnn_1layer,mse,0.000309,0.000262,0.001998,0.011988,0.013623,0.959018,820.7,302.0,0.0001,18.05
12,cnn_1layer,mse,0.000303,0.000252,0.001998,0.010989,0.014688,0.960713,818.25,290.0,0.0001,17.95
13,cnn_1layer,mse,0.000293,0.000245,0.003996,0.014985,0.016412,0.96151,775.14,281.0,0.0001,18.28
14,cnn_1layer,mse,0.00029,0.000249,0.003996,0.013986,0.016167,0.961324,808.47,285.0,0.0001,19.13
15,cnn_1layer,mse,0.000287,0.000254,0.003996,0.014985,0.01585,0.961251,727.37,260.0,0.0001,18.2
16,cnn_1layer,mse,0.000286,0.000263,0.003996,0.015984,0.016761,0.960387,924.77,343.0,0.0001,18.13
17,cnn_1layer,mse,0.000283,0.00025,0.004995,0.012987,0.017068,0.961927,705.0,255.0,0.0001,18.35
18,cnn_1layer,mse,0.000278,0.000245,0.003996,0.011988,0.01604,0.961507,807.11,291.0,0.0001,18.87
19,cnn_1layer,mse,0.000279,0.000249,0.003996,0.012987,0.01687,0.961394,857.32,300.0,5e-05,18.12
20,cnn_1layer,mse,0.000271,0.000238,0.003996,0.013986,0.017404,0.962503,775.8,274.0,5e-05,18.0
