epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,resnet18_pt,mse,0.221873,0.001667,0.0,0.000999,0.001802,0.756698,3221.89,2406.0,0.0001,23.33
2,resnet18_pt,mse,0.068366,0.000964,0.0,0.002997,0.002662,0.845775,3084.79,2385.0,0.0001,21.05
3,resnet18_pt,mse,0.056583,0.000809,0.0,0.000999,0.001468,0.871383,3174.12,2425.0,0.0001,20.72
4,resnet18_pt,mse,0.049976,0.000645,0.0,0.001998,0.00197,0.897453,2969.78,2443.0,0.0001,20.42
5,resnet18_pt,mse,0.044177,0.000609,0.0,0.002997,0.002409,0.905442,3018.82,2508.0,0.0001,21.32
6,resnet18_pt,mse,0.038871,0.000664,0.000999,0.001998,0.00262,0.895904,2970.2,2431.0,0.0001,20.68
7,resnet18_pt,mse,0.034175,0.000563,0.0,0.001998,0.002074,0.908846,2929.16,2500.0,0.0001,21.53
8,resnet18_pt,mse,0.029625,0.000546,0.0,0.001998,0.0022,0.912562,3037.45,2519.0,0.0001,20.46
9,resnet18_pt,mse,0.02572,0.000654,0.0,0.0,0.001294,0.91258,3094.69,2484.0,0.0001,21.33
10,resnet18_pt,mse,0.022217,0.000505,0.0,0.002997,0.002237,0.919594,3049.44,2468.0,0.0001,20.63
11,resnet18_pt,mse,0.01898,0.000485,0.0,0.001998,0.001932,0.921468,3052.53,2521.0,0.0001,20.8
12,resnet18_pt,mse,0.016264,0.000484,0.0,0.001998,0.001693,0.922169,3087.52,2524.0,0.0001,21.09
13,resnet18_pt,mse,0.013864,0.000494,0.000999,0.002997,0.002701,0.921335,3050.95,2494.0,0.0001,20.7
14,resnet18_pt,mse,0.011809,0.000467,0.0,0.001998,0.001899,0.924525,3047.05,2499.0,0.0001,21.38
15,resnet18_pt,mse,0.009936,0.000453,0.0,0.000999,0.001823,0.926943,3083.95,2494.0,0.0001,20.55
16,resnet18_pt,mse,0.008398,0.000443,0.0,0.0,0.001501,0.928,3111.81,2524.0,0.0001,21.53
17,resnet18_pt,mse,0.007067,0.000446,0.000999,0.002997,0.002845,0.928153,3012.7,2476.0,0.0001,20.58
18,resnet18_pt,mse,0.005958,0.000451,0.0,0.001998,0.002257,0.928497,2971.01,2466.0,0.0001,21.18
19,resnet18_pt,mse,0.004974,0.000431,0.000999,0.001998,0.002619,0.930153,2942.67,2409.0,0.0001,20.84
20,resnet18_pt,mse,0.004173,0.000414,0.0,0.001998,0.001933,0.932896,2752.14,2329.0,0.0001,20.83
