epoch,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,0.002539,0.001434,0.0,0.0,0.0,0.0,0.001998,0.003525,0.514055,1026.77,844.0,0.0001,20.2
2,0.001449,0.001008,0.0,0.000999,0.000999,0.000999,0.002997,0.004736,0.718011,672.11,696.0,0.0001,16.35
3,0.001125,0.000847,0.0,0.000999,0.000999,0.000999,0.002997,0.004842,0.768465,665.83,675.0,0.0001,16.13
4,0.000989,0.000773,0.0,0.000999,0.000999,0.000999,0.002997,0.004878,0.78451,656.67,685.0,0.0001,15.66
5,0.000917,0.000764,0.0,0.000999,0.000999,0.000999,0.002997,0.004952,0.788505,658.27,674.0,0.0001,15.47
6,0.00088,0.000748,0.0,0.000999,0.000999,0.000999,0.002997,0.004939,0.791265,655.55,681.0,0.0001,15.8
7,0.000854,0.000756,0.0,0.000999,0.000999,0.000999,0.002997,0.004955,0.787462,653.99,669.0,0.0001,16.53
8,0.000833,0.00074,0.0,0.000999,0.000999,0.000999,0.002997,0.004869,0.792224,653.35,653.0,0.0001,15.62
9,0.000812,0.000727,0.0,0.000999,0.000999,0.000999,0.002997,0.005004,0.793332,653.18,661.0,0.0001,15.26
10,0.0008,0.00072,0.0,0.000999,0.000999,0.000999,0.002997,0.004947,0.794433,658.29,675.0,0.0001,16.12
11,0.000795,0.000717,0.0,0.000999,0.000999,0.000999,0.002997,0.005103,0.794841,656.57,670.0,0.0001,15.7
12,0.000785,0.000727,0.0,0.000999,0.000999,0.000999,0.002997,0.005091,0.795001,655.76,676.0,0.0001,15.23
13,0.000776,0.000714,0.0,0.000999,0.000999,0.000999,0.002997,0.005096,0.795026,656.29,664.0,0.0001,15.63
14,0.000771,0.000711,0.0,0.000999,0.000999,0.000999,0.002997,0.005183,0.795042,651.02,657.0,0.0001,15.11
15,0.000766,0.000721,0.0,0.000999,0.000999,0.000999,0.002997,0.005088,0.794548,651.75,663.0,0.0001,15.06
16,0.000759,0.000708,0.0,0.000999,0.000999,0.000999,0.002997,0.005045,0.796046,651.38,662.0,0.0001,15.25
17,0.000759,0.000708,0.0,0.000999,0.000999,0.000999,0.002997,0.005075,0.796026,649.35,660.0,0.0001,15.29
18,0.000754,0.000721,0.0,0.000999,0.000999,0.000999,0.002997,0.005097,0.79534,649.93,663.0,0.0001,14.9
19,0.000751,0.000711,0.0,0.000999,0.000999,0.000999,0.002997,0.004985,0.79547,653.1,667.0,0.0001,15.09
20,0.000753,0.000725,0.0,0.000999,0.000999,0.000999,0.002997,0.00511,0.795122,652.23,664.0,0.0001,15.27
