epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.001912,0.000909,0.000999,0.000999,0.000999,0.000999,0.001998,0.002086,0.553749,4980.71,4943.0,0.0001,18.98
2,MSELoss_normed,0.000624,0.000128,0.0,0.0,0.0,0.0,0.0,0.000575,0.959479,4971.8,5012.0,0.0001,15.83
3,MSELoss_normed,0.000218,8.7e-05,0.0,0.0,0.0,0.0,0.000999,0.000778,0.972957,4952.97,5032.0,0.0001,16.34
4,MSELoss_normed,0.00016,5.7e-05,0.0,0.0,0.0,0.000999,0.000999,0.001136,0.980731,4378.41,4225.0,0.0001,16.66
5,MSELoss_normed,0.000101,5.1e-05,0.0,0.0,0.0,0.0,0.0,0.001393,0.982771,3889.97,3648.0,0.0001,15.82
6,MSELoss_normed,6.8e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.002255,0.984653,3607.39,3324.0,0.0001,15.85
7,MSELoss_normed,5.7e-05,4.7e-05,0.000999,0.001998,0.003996,0.003996,0.003996,0.004451,0.984165,3450.23,2954.0,0.0001,15.93
8,MSELoss_normed,5.2e-05,5.1e-05,0.002997,0.002997,0.002997,0.003996,0.004995,0.005683,0.984346,3249.8,2795.0,0.0001,16.09
9,MSELoss_normed,4.8e-05,4.3e-05,0.0,0.0,0.000999,0.002997,0.003996,0.003592,0.98546,3204.81,2598.0,0.0001,16.25
10,MSELoss_normed,4.7e-05,4.2e-05,0.0,0.000999,0.001998,0.003996,0.003996,0.004222,0.984923,3321.66,2759.0,0.0001,16.18
11,MSELoss_normed,4.6e-05,4.4e-05,0.0,0.0,0.000999,0.001998,0.001998,0.003234,0.985432,3164.51,2482.0,0.0001,15.97
12,MSELoss_normed,4.5e-05,3.8e-05,0.0,0.001998,0.001998,0.002997,0.003996,0.004011,0.985442,3219.19,2639.0,0.0001,15.83
13,MSELoss_normed,4.3e-05,3.8e-05,0.000999,0.000999,0.001998,0.002997,0.003996,0.005032,0.985706,3191.07,2497.0,0.0001,15.91
