epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.003119,0.001108,0.000999,0.000999,0.001998,0.001998,0.002997,0.004085,0.837907,3090.6,1160.0,0.0001,19.1
2,MSELoss_normed,0.001237,0.000553,0.000999,0.000999,0.002997,0.002997,0.003996,0.006043,0.917138,1877.65,645.0,0.0001,15.8
3,MSELoss_normed,0.000777,0.000353,0.000999,0.000999,0.002997,0.002997,0.003996,0.006222,0.946883,1174.68,636.0,0.0001,16.13
4,MSELoss_normed,0.000577,0.000329,0.001998,0.002997,0.004995,0.005994,0.006993,0.008566,0.957559,880.07,603.0,0.0001,15.97
5,MSELoss_normed,0.00047,0.000284,0.000999,0.000999,0.003996,0.005994,0.007992,0.009145,0.961523,855.76,556.0,0.0001,15.58
6,MSELoss_normed,0.000384,0.000236,0.001998,0.003996,0.006993,0.007992,0.00999,0.010722,0.964515,867.2,556.0,0.0001,15.7
7,MSELoss_normed,0.000348,0.000226,0.002997,0.002997,0.006993,0.007992,0.00999,0.0109,0.966172,790.71,561.0,0.0001,15.51
8,MSELoss_normed,0.000317,0.000248,0.003996,0.004995,0.007992,0.008991,0.00999,0.012702,0.967074,746.81,543.0,0.0001,15.6
9,MSELoss_normed,0.000298,0.000213,0.001998,0.003996,0.007992,0.008991,0.013986,0.011547,0.968133,747.69,543.0,0.0001,15.49
10,MSELoss_normed,0.000284,0.000231,0.002997,0.003996,0.007992,0.010989,0.012987,0.012676,0.968262,692.23,514.0,0.0001,15.65
11,MSELoss_normed,0.000276,0.000215,0.003996,0.003996,0.008991,0.008991,0.011988,0.012714,0.968683,722.46,516.0,0.0001,16.03
12,MSELoss_normed,0.00027,0.000208,0.002997,0.004995,0.008991,0.010989,0.014985,0.012909,0.968934,724.69,522.0,0.0001,16.0
13,MSELoss_normed,0.000261,0.000211,0.002997,0.007992,0.010989,0.012987,0.014985,0.014545,0.968378,658.08,480.0,0.0001,16.02
14,MSELoss_normed,0.000259,0.000206,0.003996,0.004995,0.007992,0.010989,0.011988,0.013292,0.969723,695.66,508.0,0.0001,15.73
15,MSELoss_normed,0.000249,0.000211,0.002997,0.007992,0.010989,0.011988,0.012987,0.014746,0.969846,645.19,480.0,0.0001,15.87
16,MSELoss_normed,0.000243,0.000206,0.005994,0.005994,0.008991,0.008991,0.012987,0.014601,0.969139,708.01,497.0,0.0001,15.57
