epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.008488,0.005336,0.0,0.000999,0.000999,0.000999,0.002997,0.004605,0.717934,661.62,685.0,0.0001,18.44
2,MSELoss_normed,0.005979,0.004335,0.0,0.000999,0.000999,0.000999,0.002997,0.004943,0.771374,657.36,671.0,0.0001,15.82
3,MSELoss_normed,0.005089,0.00395,0.0,0.000999,0.000999,0.000999,0.002997,0.004825,0.78625,654.99,652.0,0.0001,15.68
4,MSELoss_normed,0.004634,0.003969,0.0,0.000999,0.000999,0.000999,0.002997,0.005009,0.790388,656.78,678.0,0.0001,15.75
5,MSELoss_normed,0.004453,0.003817,0.0,0.000999,0.000999,0.000999,0.002997,0.004965,0.793111,655.77,680.0,0.0001,15.43
6,MSELoss_normed,0.004293,0.003821,0.0,0.000999,0.000999,0.000999,0.002997,0.00497,0.794534,652.34,656.0,0.0001,16.1
7,MSELoss_normed,0.004192,0.003794,0.0,0.000999,0.000999,0.000999,0.002997,0.004999,0.79421,655.14,666.0,0.0001,16.03
8,MSELoss_normed,0.004133,0.003741,0.0,0.000999,0.000999,0.000999,0.002997,0.005032,0.79513,653.23,670.0,0.0001,16.06
9,MSELoss_normed,0.004111,0.003757,0.0,0.000999,0.000999,0.000999,0.002997,0.005031,0.795141,653.12,669.0,0.0001,15.43
10,MSELoss_normed,0.004055,0.003711,0.0,0.000999,0.000999,0.000999,0.002997,0.004855,0.796101,651.78,661.0,0.0001,15.56
11,MSELoss_normed,0.004016,0.003725,0.0,0.000999,0.000999,0.000999,0.002997,0.005037,0.795779,653.65,675.0,0.0001,16.22
12,MSELoss_normed,0.00401,0.003694,0.0,0.000999,0.000999,0.000999,0.002997,0.005011,0.796251,650.72,651.0,0.0001,16.09
13,MSELoss_normed,0.00398,0.003706,0.0,0.000999,0.000999,0.000999,0.002997,0.004965,0.796355,656.15,677.0,0.0001,15.95
14,MSELoss_normed,0.003977,0.003699,0.0,0.000999,0.000999,0.000999,0.002997,0.005052,0.796375,651.91,656.0,0.0001,16.28
15,MSELoss_normed,0.003963,0.003692,0.0,0.000999,0.000999,0.000999,0.002997,0.005067,0.796095,650.44,662.0,0.0001,16.1
16,MSELoss_normed,0.003924,0.003682,0.0,0.000999,0.000999,0.000999,0.002997,0.004884,0.79683,652.46,667.0,0.0001,15.92
17,MSELoss_normed,0.003927,0.003673,0.0,0.000999,0.000999,0.000999,0.002997,0.004975,0.797108,649.41,661.0,0.0001,15.75
18,MSELoss_normed,0.003919,0.003697,0.0,0.000999,0.000999,0.000999,0.002997,0.005026,0.796918,650.54,673.0,0.0001,15.35
19,MSELoss_normed,0.003903,0.003687,0.0,0.000999,0.000999,0.000999,0.002997,0.004998,0.796861,652.1,666.0,0.0001,15.16
20,MSELoss_normed,0.003903,0.003691,0.0,0.000999,0.000999,0.000999,0.002997,0.005017,0.796587,652.5,659.0,0.0001,14.91
21,MSELoss_normed,0.003884,0.003677,0.0,0.000999,0.000999,0.000999,0.002997,0.005072,0.797165,653.2,667.0,0.0001,15.43
22,MSELoss_normed,0.00388,0.0037,0.0,0.000999,0.000999,0.000999,0.002997,0.005027,0.796474,653.61,673.0,0.0001,15.27
23,MSELoss_normed,0.003874,0.003676,0.0,0.000999,0.000999,0.000999,0.002997,0.005088,0.796935,651.95,654.0,5e-05,15.69
