epoch,loss_fn,train_loss,val_loss,val_top1,val_top2,val_top3,val_top4,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,MSELoss_normed,0.003829,0.000399,0.0,0.0,0.0,0.0,0.0,0.00101,0.985658,4182.25,3664.0,0.0001,18.4
2,MSELoss_normed,0.001225,0.000153,0.0,0.0,0.0,0.0,0.0,0.001051,0.99457,3949.53,3475.0,0.0001,15.34
3,MSELoss_normed,0.000822,8.5e-05,0.0,0.0,0.0,0.0,0.0,0.001243,0.99686,3787.82,3275.0,0.0001,15.62
4,MSELoss_normed,0.000628,0.000218,0.0,0.0,0.000999,0.000999,0.000999,0.001624,0.997104,3829.61,3556.0,0.0001,15.39
5,MSELoss_normed,0.000503,0.001145,0.0,0.0,0.000999,0.000999,0.001998,0.001156,0.991359,4328.58,4133.0,0.0001,15.08
6,MSELoss_normed,0.000422,0.000139,0.0,0.0,0.0,0.0,0.0,0.001143,0.998534,3408.36,3007.0,0.0001,15.02
7,MSELoss_normed,0.000306,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.000965,0.999319,3815.63,3128.0,0.0001,15.49
8,MSELoss_normed,0.000238,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.001696,0.999533,3808.21,3626.0,0.0001,15.39
9,MSELoss_normed,0.000203,0.000112,0.0,0.0,0.0,0.0,0.0,0.00108,0.999399,4067.58,3538.0,0.0001,15.72
10,MSELoss_normed,0.000179,5.1e-05,0.0,0.0,0.0,0.0,0.0,0.00078,0.999625,4307.69,4129.0,0.0001,15.31
11,MSELoss_normed,0.000145,1.3e-05,0.0,0.0,0.0,0.0,0.000999,0.001825,0.999794,3080.98,2013.0,0.0001,15.22
12,MSELoss_normed,0.000118,2.6e-05,0.0,0.0,0.0,0.0,0.000999,0.001694,0.999781,3110.73,2231.0,0.0001,15.46
13,MSELoss_normed,0.000103,1.3e-05,0.0,0.0,0.0,0.0,0.000999,0.001433,0.999843,3422.54,2228.0,0.0001,16.17
14,MSELoss_normed,9.6e-05,1.3e-05,0.0,0.0,0.0,0.0,0.001998,0.002501,0.99984,4039.0,3482.0,0.0001,15.4
15,MSELoss_normed,7.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.000999,0.002302,0.999789,3071.58,2443.0,0.0001,15.75
16,MSELoss_normed,7.6e-05,1.7e-05,0.0,0.000999,0.000999,0.000999,0.001998,0.004024,0.999853,1565.89,836.0,0.0001,15.38
17,MSELoss_normed,6.7e-05,1.4e-05,0.0,0.0,0.0,0.0,0.000999,0.003007,0.999873,1607.02,932.0,0.0001,15.47
18,MSELoss_normed,6e-05,1.1e-05,0.0,0.0,0.0,0.0,0.000999,0.002754,0.999884,1775.39,960.0,0.0001,15.41
