epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,resnet18_pt,mse,0.153827,0.017943,0.0,0.000999,0.001194,0.910575,4445.06,4035.0,0.0001,53.2
2,resnet18_pt,mse,0.049036,0.015553,0.0,0.002997,0.001814,0.919987,3908.48,3073.0,0.0001,51.0
3,resnet18_pt,mse,0.041612,0.01421,0.0,0.001998,0.001893,0.926331,3481.72,2548.0,0.0001,49.74
4,resnet18_pt,mse,0.037646,0.013009,0.000999,0.001998,0.003033,0.933127,2928.72,2217.0,0.0001,49.31
5,resnet18_pt,mse,0.03401,0.012179,0.000999,0.002997,0.003947,0.93725,2397.41,1925.0,0.0001,48.36
6,resnet18_pt,mse,0.030481,0.01038,0.000999,0.004995,0.005012,0.946447,1933.51,1490.0,0.0001,51.07
7,resnet18_pt,mse,0.027493,0.009741,0.000999,0.005994,0.006428,0.950321,1512.67,1128.0,0.0001,50.51
8,resnet18_pt,mse,0.025216,0.009466,0.001998,0.007992,0.008004,0.951453,1487.08,1034.0,0.0001,50.89
9,resnet18_pt,mse,0.02317,0.00914,0.001998,0.00999,0.009734,0.95295,1307.19,831.0,0.0001,51.37
10,resnet18_pt,mse,0.021507,0.008926,0.001998,0.012987,0.011858,0.956377,1064.66,552.0,0.0001,51.16
11,resnet18_pt,mse,0.019667,0.008289,0.002997,0.011988,0.013104,0.957339,1091.39,530.0,0.0001,50.09
12,resnet18_pt,mse,0.018262,0.008418,0.003996,0.011988,0.015963,0.959252,863.05,360.0,0.0001,52.17
13,resnet18_pt,mse,0.016911,0.008857,0.002997,0.010989,0.014913,0.957755,739.42,322.0,0.0001,52.09
14,resnet18_pt,mse,0.015702,0.007851,0.002997,0.016983,0.014333,0.959606,905.4,366.0,0.0001,51.84
15,resnet18_pt,mse,0.014597,0.007818,0.004995,0.012987,0.016788,0.961103,638.59,262.0,0.0001,51.43
16,resnet18_pt,mse,0.013668,0.008951,0.002997,0.016983,0.01502,0.956932,785.68,313.0,0.0001,51.97
17,resnet18_pt,mse,0.012898,0.008573,0.001998,0.008991,0.013848,0.959624,637.4,291.0,0.0001,52.26
18,resnet18_pt,mse,0.012104,0.007547,0.001998,0.017982,0.018417,0.96406,625.86,254.0,0.0001,51.49
19,resnet18_pt,mse,0.011207,0.007124,0.002997,0.021978,0.019594,0.965333,520.61,231.0,0.0001,51.64
20,resnet18_pt,mse,0.010665,0.007451,0.007992,0.027972,0.026495,0.964604,429.4,228.0,0.0001,52.14
21,resnet18_pt,mse,0.010169,0.007308,0.008991,0.028971,0.026556,0.965014,474.69,226.0,0.0001,52.29
22,resnet18_pt,mse,0.009482,0.006648,0.004995,0.035964,0.027521,0.966226,408.06,210.0,0.0001,51.64
23,resnet18_pt,mse,0.00906,0.006929,0.004995,0.032967,0.024882,0.965744,490.72,225.0,0.0001,51.64
24,resnet18_pt,mse,0.008675,0.007265,0.002997,0.025974,0.023177,0.966077,414.27,206.0,0.0001,52.03
25,resnet18_pt,mse,0.008273,0.006745,0.005994,0.030969,0.026325,0.965636,393.17,198.0,0.0001,52.05
26,resnet18_pt,mse,0.007843,0.006815,0.005994,0.02997,0.028699,0.96691,397.37,181.0,0.0001,51.53
27,resnet18_pt,mse,0.007556,0.00733,0.007992,0.040959,0.033461,0.967391,293.72,148.0,0.0001,51.74
28,resnet18_pt,mse,0.007209,0.007751,0.007992,0.042957,0.035492,0.967269,316.88,139.0,5e-05,51.97
29,resnet18_pt,mse,0.006714,0.00584,0.015984,0.056943,0.047992,0.970556,278.91,115.0,5e-05,52.04
30,resnet18_pt,mse,0.006441,0.006011,0.013986,0.05994,0.050053,0.970754,261.22,98.0,5e-05,51.67
