epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,cnn_1layer,combined,0.131968,0.041985,0.000999,0.007992,0.006969,0.924043,2049.23,1095.0,0.0001,22.24
2,cnn_1layer,combined,0.062128,0.030509,0.001998,0.011988,0.012131,0.942771,1213.33,624.0,0.0001,18.43
3,cnn_1layer,combined,0.045826,0.026157,0.002997,0.012987,0.01322,0.949891,1228.27,605.0,0.0001,18.93
4,cnn_1layer,combined,0.036926,0.024031,0.002997,0.011988,0.014161,0.953297,1037.46,445.0,0.0001,18.25
5,cnn_1layer,combined,0.032475,0.023131,0.002997,0.011988,0.01212,0.954673,1122.72,556.0,0.0001,18.12
6,cnn_1layer,combined,0.029991,0.022292,0.002997,0.008991,0.012948,0.956105,1088.66,537.0,0.0001,18.55
7,cnn_1layer,combined,0.027832,0.022085,0.002997,0.003996,0.010138,0.956375,1221.78,594.0,0.0001,18.8
8,cnn_1layer,combined,0.026392,0.020765,0.003996,0.014985,0.014641,0.95888,912.2,393.0,0.0001,18.18
9,cnn_1layer,combined,0.025092,0.02031,0.003996,0.008991,0.013552,0.959704,960.59,409.0,0.0001,18.05
10,cnn_1layer,combined,0.024255,0.020002,0.003996,0.013986,0.016843,0.960324,815.23,301.0,0.0001,18.28
11,cnn_1layer,combined,0.023498,0.020028,0.001998,0.014985,0.014295,0.960243,833.31,343.0,0.0001,18.51
12,cnn_1layer,combined,0.022884,0.019662,0.002997,0.012987,0.015702,0.960991,865.72,344.0,0.0001,17.85
13,cnn_1layer,combined,0.022743,0.019245,0.002997,0.014985,0.015757,0.961865,753.65,285.0,0.0001,17.69
14,cnn_1layer,combined,0.022736,0.019291,0.002997,0.00999,0.015401,0.961808,865.66,308.0,0.0001,17.81
15,cnn_1layer,combined,0.022369,0.019417,0.003996,0.012987,0.015624,0.961531,924.59,327.0,0.0001,18.82
16,cnn_1layer,combined,0.022111,0.019395,0.003996,0.010989,0.015259,0.961565,907.23,362.0,0.0001,17.92
17,cnn_1layer,combined,0.022019,0.018996,0.005994,0.013986,0.017733,0.962372,804.95,290.0,0.0001,17.85
18,cnn_1layer,combined,0.022005,0.019292,0.003996,0.00999,0.015453,0.961785,884.69,315.0,0.0001,18.01
19,cnn_1layer,combined,0.021872,0.019127,0.001998,0.012987,0.01478,0.962093,831.89,324.0,0.0001,18.56
20,cnn_1layer,combined,0.021957,0.018728,0.004995,0.012987,0.01729,0.962881,768.74,258.0,0.0001,18.17
21,cnn_1layer,combined,0.021813,0.018852,0.003996,0.011988,0.016533,0.962629,783.15,287.0,0.0001,18.07
22,cnn_1layer,combined,0.021652,0.018937,0.003996,0.013986,0.016531,0.962448,851.34,294.0,0.0001,18.14
23,cnn_1layer,combined,0.021618,0.018963,0.004995,0.015984,0.017277,0.962418,814.5,298.0,0.0001,18.8
24,cnn_1layer,combined,0.021478,0.018779,0.003996,0.011988,0.016249,0.962774,806.53,299.0,0.0001,18.15
25,cnn_1layer,combined,0.02161,0.018835,0.004995,0.012987,0.017616,0.962687,796.6,283.0,0.0001,18.0
26,cnn_1layer,combined,0.021572,0.018963,0.003996,0.00999,0.016192,0.962467,702.03,263.0,5e-05,17.93
27,cnn_1layer,combined,0.021329,0.018702,0.002997,0.013986,0.016012,0.962949,785.32,283.0,5e-05,18.7
28,cnn_1layer,combined,0.021399,0.018674,0.001998,0.014985,0.016784,0.96301,740.1,259.0,5e-05,18.56
29,cnn_1layer,combined,0.021192,0.018689,0.003996,0.013986,0.01713,0.962999,761.59,271.0,5e-05,17.87
30,cnn_1layer,combined,0.021166,0.018627,0.004995,0.011988,0.017869,0.963095,776.62,283.0,5e-05,17.94
