epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,cnn_3layer,cosine,0.310553,0.132803,0.000999,0.004995,0.006041,0.86709,1142.75,660.0,0.0001,19.63
2,cnn_3layer,cosine,0.154596,0.104684,0.0,0.002997,0.005615,0.895259,771.11,627.0,0.0001,17.05
3,cnn_3layer,cosine,0.125983,0.099407,0.0,0.001998,0.005398,0.900542,696.16,583.0,0.0001,16.76
4,cnn_3layer,cosine,0.11378,0.095375,0.0,0.004995,0.006909,0.904577,610.05,490.0,0.0001,16.78
5,cnn_3layer,cosine,0.107453,0.094396,0.0,0.003996,0.007241,0.905556,593.37,477.0,0.0001,17.63
6,cnn_3layer,cosine,0.104153,0.094831,0.0,0.004995,0.008033,0.905131,575.48,453.0,0.0001,17.27
7,cnn_3layer,cosine,0.101823,0.093656,0.0,0.002997,0.00733,0.906294,580.73,470.0,0.0001,16.64
8,cnn_3layer,cosine,0.100329,0.093918,0.0,0.004995,0.00764,0.906041,575.05,456.0,0.0001,16.68
9,cnn_3layer,cosine,0.099867,0.093194,0.0,0.003996,0.007255,0.906754,574.28,461.0,0.0001,16.75
10,cnn_3layer,cosine,0.098793,0.093063,0.0,0.002997,0.00694,0.906895,579.09,459.0,0.0001,17.02
11,cnn_3layer,cosine,0.098767,0.092883,0.0,0.005994,0.008828,0.907066,553.23,431.0,0.0001,17.42
12,cnn_3layer,cosine,0.097982,0.092513,0.0,0.003996,0.007365,0.907449,564.1,437.0,0.0001,16.78
13,cnn_3layer,cosine,0.097028,0.092157,0.0,0.002997,0.00761,0.907796,560.0,435.0,0.0001,16.91
14,cnn_3layer,cosine,0.096352,0.09202,0.0,0.004995,0.009273,0.907932,536.77,413.0,0.0001,17.04
15,cnn_3layer,cosine,0.095944,0.091374,0.0,0.004995,0.009398,0.908583,528.36,413.0,0.0001,17.4
16,cnn_3layer,cosine,0.095404,0.091071,0.0,0.004995,0.008659,0.908898,546.54,425.0,0.0001,17.37
17,cnn_3layer,cosine,0.094667,0.090957,0.0,0.004995,0.010319,0.909015,528.45,393.0,0.0001,16.74
18,cnn_3layer,cosine,0.09421,0.090116,0.0,0.006993,0.010077,0.909857,524.08,403.0,0.0001,16.76
19,cnn_3layer,cosine,0.093708,0.089609,0.001998,0.005994,0.012395,0.910359,508.58,385.0,0.0001,16.77
20,cnn_3layer,cosine,0.09329,0.089522,0.001998,0.012987,0.014,0.910452,501.28,371.0,0.0001,17.24
21,cnn_3layer,cosine,0.092865,0.089257,0.0,0.00999,0.012505,0.910707,495.78,366.0,0.0001,17.29
22,cnn_3layer,cosine,0.092471,0.089524,0.001998,0.014985,0.016067,0.910452,490.04,362.0,0.0001,17.0
23,cnn_3layer,cosine,0.091958,0.088641,0.001998,0.012987,0.015393,0.911327,480.49,342.0,0.0001,16.89
24,cnn_3layer,cosine,0.091869,0.088364,0.000999,0.012987,0.016239,0.911605,466.44,324.0,0.0001,16.83
25,cnn_3layer,cosine,0.090933,0.087902,0.003996,0.014985,0.017209,0.912094,480.68,344.0,0.0001,17.58
26,cnn_3layer,cosine,0.090578,0.087252,0.002997,0.016983,0.018465,0.912707,452.52,315.0,0.0001,17.02
27,cnn_3layer,cosine,0.090019,0.08695,0.001998,0.013986,0.017697,0.913028,446.22,306.0,0.0001,16.89
28,cnn_3layer,cosine,0.089443,0.086585,0.001998,0.010989,0.016054,0.913402,466.13,334.0,0.0001,18.19
29,cnn_3layer,cosine,0.089043,0.086162,0.004995,0.016983,0.02201,0.913807,435.32,293.0,0.0001,17.48
30,cnn_3layer,cosine,0.088504,0.085767,0.005994,0.026973,0.024687,0.914218,430.79,279.0,0.0001,17.32
