epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,resnet18_pt,combined,0.270927,0.067017,0.0,0.000999,0.002048,0.925615,3017.13,2302.0,0.0001,52.88
2,resnet18_pt,combined,0.138252,0.057652,0.0,0.003996,0.004317,0.941454,2153.82,1623.0,0.0001,51.74
3,resnet18_pt,combined,0.120017,0.047394,0.000999,0.006993,0.007364,0.947241,1767.53,1141.0,0.0001,52.14
4,resnet18_pt,combined,0.107344,0.045816,0.000999,0.010989,0.009426,0.954222,1172.83,735.0,0.0001,52.05
5,resnet18_pt,combined,0.096912,0.049387,0.001998,0.011988,0.011635,0.955459,968.64,489.0,0.0001,51.66
6,resnet18_pt,combined,0.087788,0.041365,0.003996,0.014985,0.015681,0.95863,866.09,382.0,0.0001,51.72
7,resnet18_pt,combined,0.079439,0.0354,0.004995,0.014985,0.015681,0.958415,849.82,383.0,0.0001,52.08
8,resnet18_pt,combined,0.071379,0.03897,0.005994,0.017982,0.019186,0.96096,777.69,285.0,0.0001,51.78
9,resnet18_pt,combined,0.064095,0.045851,0.000999,0.004995,0.007775,0.951798,1534.17,895.0,0.0001,51.35
10,resnet18_pt,combined,0.059504,0.035491,0.001998,0.008991,0.010861,0.957005,1162.07,498.0,0.0001,51.59
11,resnet18_pt,combined,0.051417,0.03642,0.002997,0.015984,0.016849,0.961459,706.79,287.0,0.0001,51.97
12,resnet18_pt,combined,0.046142,0.032903,0.001998,0.016983,0.01867,0.962579,551.48,227.0,0.0001,51.82
13,resnet18_pt,combined,0.04129,0.026625,0.002997,0.023976,0.018634,0.960683,800.76,334.0,0.0001,51.4
14,resnet18_pt,combined,0.037722,0.027642,0.003996,0.021978,0.02099,0.961855,677.8,264.0,0.0001,51.74
15,resnet18_pt,combined,0.034173,0.02157,0.012987,0.034965,0.036369,0.965798,319.0,159.0,0.0001,51.98
16,resnet18_pt,combined,0.030696,0.023312,0.002997,0.022977,0.019589,0.959647,923.18,341.0,0.0001,51.94
17,resnet18_pt,combined,0.028243,0.023347,0.005994,0.028971,0.02535,0.962359,548.01,211.0,0.0001,51.0
18,resnet18_pt,combined,0.026565,0.018324,0.011988,0.058941,0.04688,0.969499,323.53,108.0,0.0001,51.85
19,resnet18_pt,combined,0.023546,0.016751,0.026973,0.084915,0.070409,0.971968,234.59,75.0,0.0001,53.16
20,resnet18_pt,combined,0.021362,0.016196,0.022977,0.072927,0.063396,0.970165,251.8,85.0,0.0001,52.66
21,resnet18_pt,combined,0.022228,0.022743,0.013986,0.085914,0.05862,0.967046,324.27,89.0,0.0001,51.43
22,resnet18_pt,combined,0.021003,0.01467,0.044955,0.150849,0.112215,0.973958,158.13,34.0,0.0001,51.94
23,resnet18_pt,combined,0.018072,0.01348,0.040959,0.178821,0.123553,0.975375,136.59,30.0,0.0001,52.32
24,resnet18_pt,combined,0.016215,0.014588,0.062937,0.1998,0.144918,0.975809,142.65,26.0,0.0001,51.96
25,resnet18_pt,combined,0.015567,0.012268,0.074925,0.226773,0.165056,0.977189,107.62,18.0,0.0001,51.33
26,resnet18_pt,combined,0.014619,0.012613,0.081918,0.293706,0.190075,0.977102,99.47,15.0,0.0001,51.93
27,resnet18_pt,combined,0.013837,0.012301,0.122877,0.357642,0.236631,0.977128,83.8,11.0,0.0001,52.66
28,resnet18_pt,combined,0.012875,0.01369,0.090909,0.263736,0.18224,0.975332,146.82,20.0,0.0001,52.27
29,resnet18_pt,combined,0.013512,0.018003,0.062937,0.184815,0.131461,0.969697,196.66,38.0,0.0001,51.85
30,resnet18_pt,combined,0.01244,0.011156,0.146853,0.402597,0.272685,0.979268,88.51,9.0,0.0001,51.91
