epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,resnet18_pt,cosine,0.285364,0.112043,0.0,0.005994,0.006885,0.887897,749.29,569.0,0.0001,54.95
2,resnet18_pt,cosine,0.151862,0.099071,0.0,0.002997,0.006521,0.900864,641.21,505.0,0.0001,53.25
3,resnet18_pt,cosine,0.130916,0.094084,0.0,0.003996,0.00809,0.905865,582.19,451.0,0.0001,51.91
4,resnet18_pt,cosine,0.119118,0.090391,0.001998,0.013986,0.01494,0.909562,511.84,367.0,0.0001,52.15
5,resnet18_pt,cosine,0.110409,0.085144,0.003996,0.030969,0.026246,0.914828,424.27,264.0,0.0001,52.72
6,resnet18_pt,cosine,0.103447,0.081175,0.015984,0.055944,0.046453,0.918785,359.47,181.0,0.0001,53.11
7,resnet18_pt,cosine,0.097017,0.077119,0.018981,0.084915,0.061978,0.922843,307.99,122.0,0.0001,51.9
8,resnet18_pt,cosine,0.09125,0.073413,0.040959,0.130869,0.094364,0.926567,254.4,77.0,0.0001,51.38
9,resnet18_pt,cosine,0.086213,0.071245,0.054945,0.150849,0.113348,0.928719,226.15,60.0,0.0001,52.07
10,resnet18_pt,cosine,0.082511,0.069253,0.058941,0.18981,0.130869,0.930715,203.43,44.0,0.0001,52.13
11,resnet18_pt,cosine,0.07883,0.068606,0.078921,0.207792,0.145794,0.931379,205.6,47.0,0.0001,52.01
12,resnet18_pt,cosine,0.07457,0.065357,0.091908,0.254745,0.174016,0.934601,165.0,30.0,0.0001,52.23
13,resnet18_pt,cosine,0.071111,0.063119,0.130869,0.331668,0.227132,0.936821,143.86,18.0,0.0001,52.14
14,resnet18_pt,cosine,0.068391,0.060884,0.164835,0.372627,0.264329,0.939067,114.6,13.0,0.0001,51.75
15,resnet18_pt,cosine,0.065782,0.060546,0.183816,0.388611,0.280616,0.939477,119.34,13.0,0.0001,51.09
16,resnet18_pt,cosine,0.063752,0.059544,0.215784,0.456543,0.327003,0.940436,106.63,7.0,0.0001,51.96
17,resnet18_pt,cosine,0.061046,0.056992,0.215784,0.437562,0.321955,0.942987,106.61,8.0,0.0001,52.11
18,resnet18_pt,cosine,0.059189,0.056665,0.284715,0.503497,0.390961,0.943343,86.26,5.0,0.0001,51.34
19,resnet18_pt,cosine,0.057811,0.055292,0.305694,0.535465,0.41482,0.944679,79.29,4.0,0.0001,51.67
20,resnet18_pt,cosine,0.056135,0.052527,0.341658,0.568432,0.450406,0.947455,70.49,3.0,0.0001,52.31
21,resnet18_pt,cosine,0.053628,0.053958,0.303696,0.538462,0.413867,0.946024,77.49,4.0,0.0001,52.4
22,resnet18_pt,cosine,0.052856,0.051587,0.34965,0.607393,0.467068,0.948359,65.39,3.0,0.0001,51.53
23,resnet18_pt,cosine,0.050845,0.050951,0.411588,0.645355,0.518886,0.949003,57.98,2.0,0.0001,52.05
24,resnet18_pt,cosine,0.049516,0.048421,0.430569,0.655345,0.534463,0.951569,54.54,2.0,0.0001,51.92
25,resnet18_pt,cosine,0.048209,0.048811,0.448551,0.657343,0.545139,0.951166,56.29,2.0,0.0001,51.08
26,resnet18_pt,cosine,0.047735,0.047264,0.453546,0.68032,0.559213,0.95273,52.42,2.0,0.0001,51.9
27,resnet18_pt,cosine,0.046262,0.046051,0.503497,0.711289,0.601494,0.953929,43.97,1.0,0.0001,52.13
28,resnet18_pt,cosine,0.04524,0.045129,0.524476,0.74026,0.624138,0.954851,35.15,1.0,0.0001,51.9
29,resnet18_pt,cosine,0.044418,0.045627,0.472527,0.69031,0.571405,0.954337,47.75,2.0,0.0001,51.69
30,resnet18_pt,cosine,0.043922,0.045614,0.457542,0.691309,0.56424,0.954401,50.5,2.0,0.0001,52.42
