epoch,model,loss_fn,train_loss,val_loss,val_top1,val_top5,val_mrr,val_mean_cosine,val_mean_rank,val_median_rank,lr,epoch_time_s
1,resnet18_pt,mse_normed,0.129434,0.000721,0.0,0.0,0.000779,0.880751,4830.94,4763.0,0.0001,52.01
2,resnet18_pt,mse_normed,0.031243,0.000579,0.0,0.000999,0.001175,0.905231,4873.07,4704.0,0.0001,51.94
3,resnet18_pt,mse_normed,0.025716,0.000569,0.0,0.0,0.000858,0.906994,4902.19,4748.0,0.0001,52.29
4,resnet18_pt,mse_normed,0.022924,0.000561,0.0,0.000999,0.00109,0.908374,4934.74,4810.0,0.0001,51.71
5,resnet18_pt,mse_normed,0.020493,0.00056,0.0,0.000999,0.001042,0.908522,4958.91,4881.0,0.0001,51.1
6,resnet18_pt,mse_normed,0.018319,0.000559,0.0,0.0,0.000701,0.908604,4960.42,4923.0,0.0001,51.94
7,resnet18_pt,mse_normed,0.016417,0.000557,0.0,0.0,0.000872,0.909292,4944.22,4902.0,0.0001,52.13
8,resnet18_pt,mse_normed,0.01468,0.000557,0.0,0.000999,0.000932,0.909218,4970.14,4919.0,0.0001,51.81
9,resnet18_pt,mse_normed,0.013058,0.000554,0.0,0.0,0.000775,0.909638,4951.38,4848.0,0.0001,51.28
10,resnet18_pt,mse_normed,0.011656,0.000552,0.0,0.0,0.000799,0.90996,4924.64,4824.0,0.0001,52.01
11,resnet18_pt,mse_normed,0.010314,0.000546,0.0,0.0,0.00076,0.911013,4827.18,4674.0,0.0001,51.83
12,resnet18_pt,mse_normed,0.009156,0.000547,0.0,0.000999,0.001141,0.911285,4777.02,4606.0,0.0001,51.33
13,resnet18_pt,mse_normed,0.008093,0.000537,0.0,0.000999,0.001125,0.912758,4558.69,4254.0,0.0001,51.51
14,resnet18_pt,mse_normed,0.007144,0.00053,0.0,0.0,0.001195,0.91447,4381.71,3888.0,0.0001,52.34
15,resnet18_pt,mse_normed,0.00626,0.000508,0.0,0.0,0.001554,0.918945,3818.35,2909.0,0.0001,52.12
16,resnet18_pt,mse_normed,0.005502,0.000483,0.0,0.001998,0.00189,0.923535,3409.31,2591.0,0.0001,51.76
17,resnet18_pt,mse_normed,0.004799,0.000465,0.0,0.002997,0.002178,0.926228,3269.23,2535.0,0.0001,51.28
18,resnet18_pt,mse_normed,0.004197,0.000454,0.0,0.000999,0.002331,0.92908,3038.02,2405.0,0.0001,51.87
19,resnet18_pt,mse_normed,0.003656,0.000438,0.000999,0.001998,0.003106,0.931153,2945.69,2329.0,0.0001,51.6
20,resnet18_pt,mse_normed,0.003186,0.000455,0.000999,0.001998,0.00316,0.931455,2775.95,2254.0,0.0001,50.58
21,resnet18_pt,mse_normed,0.002777,0.000432,0.001998,0.004995,0.005345,0.936137,2419.13,1863.0,0.0001,51.11
22,resnet18_pt,mse_normed,0.002389,0.000447,0.003996,0.006993,0.007869,0.941371,1674.83,1201.0,0.0001,51.59
23,resnet18_pt,mse_normed,0.002058,0.000406,0.000999,0.000999,0.002777,0.934961,2697.72,2243.0,0.0001,50.33
24,resnet18_pt,mse_normed,0.001788,0.000347,0.002997,0.003996,0.00564,0.94504,1993.23,1476.0,0.0001,50.81
25,resnet18_pt,mse_normed,0.001556,0.000345,0.000999,0.002997,0.004437,0.947969,1754.26,1338.0,0.0001,51.33
26,resnet18_pt,mse_normed,0.001358,0.000375,0.001998,0.002997,0.004891,0.944528,1924.96,1492.0,0.0001,52.27
27,resnet18_pt,mse_normed,0.001189,0.000385,0.001998,0.005994,0.006833,0.948331,1568.54,1131.0,0.0001,51.68
28,resnet18_pt,mse_normed,0.001044,0.000391,0.000999,0.002997,0.005946,0.946787,1347.41,919.0,0.0001,52.19
29,resnet18_pt,mse_normed,0.000913,0.000384,0.000999,0.004995,0.005261,0.947218,1560.85,1129.0,0.0001,52.09
30,resnet18_pt,mse_normed,0.000831,0.000331,0.001998,0.004995,0.005719,0.948341,1717.62,1317.0,0.0001,51.47
