overall_rank,variant,run_id,embedding,dim,loss_fn,best_epoch,total_epochs,test_top1,test_top5,test_mrr,test_mean_rank,test_median_rank,test_mean_cosine,colour_size_correct,collapsed,description,mrr_norm,median_rank_norm,top1_norm,top5_norm,cosine_norm,composite_score
1,non-normed,LLM-gemini-lite-sbert-norm,sbert_norm_384d,384,,,,0.4535464535464535,0.5634365634365635,0.5032018467910028,283.7712287712288,3.0,0.9826064897583916,0.5234765234765235,False,Gemini 2.0 Flash Lite → SBERT-norm retrieval (detailed prompt),16.285777663429084,0.9997002398081535,37.83333333333361,16.114285714285746,0.9826064897583916,15.98288709044972
2,non-normed,LLM-gemini-lite,tinybert_mean_312d,312,,,,0.4575424575424575,0.4615384615384615,0.4613243564960656,1149.7172827172826,52.0,0.9898365082202496,0.5234765234765235,False,Gemini 2.0 Flash Lite → TinyBERT-mean retrieval (detailed prompt),14.930441826736464,0.9948041566746603,38.16666666666694,13.200000000000024,0.9898365082202496,15.137180837270831
3,non-normed,LLM-gemini-lite-sbert-norm-p2,sbert_norm_384d,384,,,,0.1438561438561438,0.1918081918081918,0.166116192093613,860.7852147852147,656.0,0.814478242522353,0.5304695304695305,False,Gemini 2.0 Flash Lite → SBERT-norm retrieval (minimal prompt),5.376234980027162,0.9344524380495604,12.000000000000083,5.485714285714296,0.814478242522353,5.378876407505176
4,non-normed,LLM-gemini-lite-p2,tinybert_mean_312d,312,,,,0.1438561438561438,0.1448551448551448,0.1461115084598404,3700.364635364635,3251.0,0.90564429313391,0.5154845154845155,False,Gemini 2.0 Flash Lite → TinyBERT-mean retrieval (minimal prompt),4.728797312688528,0.6751598721023182,12.000000000000083,4.1428571428571495,0.90564429313391,4.890579813551849
5,normed,E2an,sbert_normed,384,CosineLoss_normed,30.0,30.0,0.0119880119880119,0.0289710289710289,0.030898238769462,404.9320679320679,249.0,0.917012726867592,1.0,False,"SBERT all-MiniLM-L6-v2 (384-dim), frozen, CosineLoss — normed",1.0,0.9751199040767387,1.0,0.8285714285714281,0.917012726867592,0.9639163266482784
6,normed,S2dn,sbert_normed,384,cosine,30.0,30.0,0.0089910089910089,0.0349650349650349,0.030508857376156,412.1688311688312,261.0,0.9158380537123588,1.0,False,"Stage-2 cnn_3layer + SBERT (384-dim), Cosine — normed",0.987397942121839,0.9739208633093526,0.7499999999999979,1.0,0.9158380537123588,0.9348613982555993
7,non-normed,S2a,tinybert_mean,312,MSE,27.0,30.0,0.0059940059940059,0.0289710289710289,0.0275074979469932,641.8211788211788,169.0,0.9659203376088824,1.0,False,"Stage-2 cnn_1layer + TinyBERT-mean (312-dim), MSE",0.8902610324242816,0.9831135091926458,0.4999999999999959,0.8285714285714281,0.9659203376088824,0.8299514698128175
8,non-normed,E2e,tinybert_mean,312,MSE,27.0,30.0,0.0059940059940059,0.0289710289710289,0.0275074979469932,641.8211788211788,169.0,0.9659203376088824,1.0,False,"TinyBERT mean-pool (312-dim), MSE",0.8902610324242816,0.9831135091926458,0.4999999999999959,0.8285714285714281,0.9659203376088824,0.8299514698128175
9,non-normed,S2b,tinybert_mean,312,MSE,30.0,30.0,0.0039960039960039,0.0309690309690309,0.0262716293815336,560.4675324675325,173.0,0.9657695998440494,0.998001998001998,False,"Stage-2 cnn_3layer + TinyBERT-mean (312-dim), MSE",0.8502630061716959,0.9827138289368506,0.33333333333332776,0.8857142857142853,0.9657695998440494,0.791082798910317
10,normed,E2bn,sbert_finetuned_normed,384,CosineLoss_normed,29.0,30.0,0.0059940059940059,0.0199800199800199,0.0190068928113436,443.5974025974026,358.0,0.8706276746062965,1.0,False,"SBERT fine-tuned on Type-B corpus (384-dim), CosineLoss — normed",0.6151448615941467,0.9642286171063149,0.4999999999999959,0.5714285714285703,0.8706276746062965,0.6856035252791296
